Trait	PeakID	Chromosome	BasePosition	VarianceExplained(%)	-log10p	LeftCI	RightCI	Distance to TE Position	Median Value
MARINCE1(all)	1	IV	15044238	18.84	5.89	14829641	15240028	near	different
MARINCE1(all)	2	X	5193340	13.84	5.71	4839634	5598338	near	different
MARINCE1(ins)	1	IV	13921507	17.26	5.88	13621830	14150033	near	different
MARINCE1(ins)	2	IV	16083067	24.52	7.56	15543205	17489301	near	different
MARINER2(AR)	1	IV	13574073	47.33	11.82	12912807	15918794	near	different
MARINER3(AR)	1	V	3242075	21.04	5.68	2922427	3577668	far	different
MARINER3(AR)	2	V	16377971	60.28	15.07	16154022	16601996	near	different
MARINER3(all)	1	I	8211945	38.82	12.95	4668223	9890579	near	different
MARINER3(ins)	1	I	8211945	43.61	16.33	4722280	11508762	near	different
MARINER4(AR)	1	III	907601	60.12	19.74	37889	1789541	near	different
MARINER4(all)	1	III	907601	57.33	10.9	37907	1311051	near	different
MIRAGE1(AR)	1	IV	304776	60.63	28.54	122112	1826125	near	different
NDNAX3(ins)	1	IV	1163931	18.68	9.36	734642	1347032	near	same
NPAL0A(ins)	1	II	2582871	33.59	8.88	2188008	3123902	far	different
NPAL0A(ins)	2	III	13035544	27.62	6.31	12613203	13769949	far	different
NPAL0A(ins)	3	V	16112216	49.33	19.53	12702185	17368870	near	different
NPAL5A(ins)	1	IV	5141339	26.19	6.92	4529531	8799332	near	different
NPAL5A(ins)	2	IV	14945423	47.59	6.95	14127399	15262223	near	different
NPAL5A(ins)	3	X	8527865	24.03	14.72	7369927	8808710	near	different
NPAL5A(ins)	4	X	10105646	4.4	6.2	9777821	10332260	far	same
NPALTA1(ins)	1	IV	14422112	47.57	10.88	13181453	16384544	near	different
NTc2A(ins)	1	V	7591991	59.08	11.22	6504239	13592355	near	different
NTc2A(ins)	2	V	15896444	35.77	6.42	15590505	16018510	near	different
PAL8D(ins)	1	III	1298709	35.83	6.76	1080505	1529774	near	different
PAL9A(ins)	1	III	811896	35.95	10.76	1306	1167976	near	different
PALNN1(ins)	1	IV	10231023	47.73	12.02	6512005	12110683	near	different
PALNN1(ins)	2	X	7641302	8.05	6	7369927	7996147	far	different
PALNN1(ins)	3	X	11720614	6.11	6.69	11352950	12102981	far	same
PALTA4(ins)	1	II	12859112	33.25	7.79	11950727	13129688	near	different
RTE1(AR)	1	IV	4612501	83.81	42.71	3775948	6459413	near	different
RTE1(all)	1	IV	4656046	61.2	22.11	3775948	6459413	near	different
RTE1(ins)	1	IV	577864	16.17	5.71	122112	803215	far	different
RTE1(ins)	2	IV	2286383	24.85	11.6	1400763	3000100	far	different
RTE1(ins)	3	X	11991311	54.76	33.76	10481456	13706483	near	different
SINE1(ins)	1	III	10399357	14.74	5.61	10031480	10652221	far	different
SINE1(ins)	2	V	15883184	28.04	9.98	15575715	16601861	near	different
SINE1(ins)	3	X	11306188	26.47	5.64	10793361	11714425	far	different
Tc1A(AR)	1	X	9350385	26.42	7.7	8033013	9676534	near	different
Tc1A(all)	1	X	9350385	24.15	7.18	7978726	9676534	near	different
Tc1A(all)	2	X	12576756	11.38	5.59	12297605	12869606	near	different
Tc2(ins)	1	III	10260130	7.74	7.53	7265764	10550188	near	different
Tc2(ins)	2	X	4018372	5.78	6.01	2143459	4564994	near	different
Tc2(ins)	3	X	12472120	5.9	8.45	11734726	12977576	near	different
Tc3(AR)	1	II	6050915	33.81	10.32	2660306	12199657	near	different
Tc3(AR)	2	III	7044766	28.87	7	6676431	7219587	near	different
Tc3(AR)	3	III	10301222	28.87	7	9942136	10572258	near	different
Tc3(AR)	4	V	18434217	22.11	9.15	18127722	18592585	near	different
Tc3(AR)	5	X	13787312	20.58	11.59	13347087	14461793	near	different
Tc3(ins)	1	X	8421335	29.23	7	7970055	8618334	near	different
Tc4v(AR)	1	IV	3533990	27.58	9.65	2860173	4003546	near	different
Tc4v(AR)	2	X	5193221	43.58	9.46	4624590	5894162	near	different
Tc4v(AR)	3	X	13787312	13.99	6.98	13347087	14511240	near	different
Tc5(AR)	1	II	8666198	34.9	13.47	3470028	10643785	near	different
Tc5(AR)	2	IV	2348347	47.62	10.55	2115313	2920417	near	different
Tc6(AR)	1	II	7323087	36.41	7.07	5888467	11950727	near	different
Tc6(AR)	2	III	1298693	49.89	9.82	1048589	2581045	near	different
Tc6(AR)	3	V	3084859	51.78	9.69	2647913	3951627	near	different
Tc6(all)	1	III	1298693	37.52	5.51	1140930	1507960	near	different
Tc9(AR)	1	V	6504239	68.41	36.05	4438698	14629769	near	different
Tc9(ins)	1	I	6402041	13.56	5.71	4795002	7886023	near	different
TIR21T5A(ins)	1	I	1912337	62.25	12.12	1287916	2334229	near	different
TIR9TA1A(ins)	1	V	676493	22.39	8.51	14588	1486528	near	same
total_dnatransposon(AR)	1	II	8666198	26.3	5.86	8259056	9207886	NA	different
total_dnatransposon(AR)	2	IV	8598829	13.18	6.08	7707158	10777079	NA	different
total_dnatransposon(all)	1	IV	6753403	9.44	6.56	6246979	7743245	NA	different
total_dnatransposon(ins)	1	IV	6753403	16.31	7.56	4874060	8690836	NA	different
total_retrotransposon(AR)	1	II	3995895	5.32	5.88	3764615	4321071	NA	same
total_retrotransposon(AR)	2	IV	4472158	16.67	9.75	4062158	5368422	NA	different
total_unknown(AR)	1	II	3903834	11.47	5.93	3678271	4265033	NA	different
total_unknown(AR)	2	IV	14141025	27.94	6.45	13894269	14983965	NA	different
total(all)	1	IV	6753403	9.12	6.3	6246979	7743245	NA	different
total(ins)	1	IV	6753403	15.82	7.12	5280823	8690836	NA	different
Vingi-1(AR)	1	II	13643172	61.47	21.26	13338160	14644602	near	different
WBT00000074(AR)	1	I	3573372	30.54	9.9	2989847	4382830	near	different
WBT00000074(AR)	2	IV	15763697	36.64	6.78	15142026	15918721	near	different
WBT00000074(AR)	3	X	17274823	11.39	5.57	16586419	17718796	near	different
WBT00000074(ins)	1	X	16781215	19.09	5.6	16271566	17718796	near	different
WBT00000134(AR)	1	IV	17256096	88.64	71.05	16999215	17489301	near	different
WBT00000134(all)	1	IV	17256096	86.23	55.11	16999215	17489301	near	different
WBT00000416(AR)	1	V	2799910	96.15	108.05	1825241	3248610	near	different
WBT00000416(all)	1	V	2799910	34.02	7.89	2262932	3180357	near	different
WBT00000416(ins)	1	IV	6339582	22.83	6.56	4529531	8799332	near	different
WBT00000416(ins)	2	X	14217950	14.2	6.48	13915035	14779260	near	different
WBT00000581(all)	1	X	6227419	19.09	6.19	5963700	6648544	far	different
WBT00000617(AR)	1	IV	14141025	100	Inf	12853989	16431941	near	different
WBT00000628(ins)	1	X	13248447	41.71	18.32	12672774	17374837	near	different
WBT00000634(AR)	1	V	17229419	86.21	50.18	16581068	18585283	near	different
WBT00000661(all)	1	III	12529042	6.19	7.16	12327141	12950231	far	different
WBT00000665(AR)	1	I	14518306	2.44	6.92	13103633	14898607	far	different
WBT00000665(AR)	2	II	5041550	68.28	37.51	3264339	6944300	near	different
WBT00000746(AR)	1	I	13183418	48.3	6.7	12957337	13323790	near	different
WBT00000746(AR)	2	II	104876	4.27	7.06	24284	288203	far	same
WBT00000746(AR)	3	V	12045766	54.1	16.62	3098409	13304172	near	different
WBT00000746(AR)	4	X	3342241	40.59	7.83	2489696	4012998	far	different
WBT00000746(AR)	5	X	6871942	47.49	8.86	6420231	8456266	far	different
WBT00000746(all)	1	II	13466617	5.55	6.56	12998175	13861284	far	different
WBT00000746(ins)	1	V	2199997	23.51	7.01	1921216	2990158	near	same
WBT00000746(ins)	2	V	17072655	21.7	6.64	16987265	17558178	far	same
