piRNA Transcript	Transposon	Number of Mismatches
Y41E3.408	WBT00000047	2
Y41E3.427	PALTA1	2
Y42H9AL.1	CER8-I	2
Y45F10C.19	CER8-I	2
Y51H4A.407	MARINER3	2
Y51H4A.407	WBT00000132	2
Y51H4A.681	LONGPAL2	2
Y51H4A.768	WBT00000637	2
Y51H4A.790	MIRAGE1	2
Y51H4A.905	PALTA1	2
Y51H4A.913	WBT00000723	2
Y57G11A.57	CER1	2
Y57G11A.95	WBT00000642	2
Y57G11B.140	WBT00000714	2
Y57G11B.159	WBT00000637	2
Y57G11B.213	WBT00000637	2
Y57G11C.1073	CEMUDR2	2
Y57G11C.258	CER16-I	2
Y57G11C.445	Tc9	2
Y57G11C.677	Chapaev-2	2
Y57G11C.711	WBT00000713	2
Y57G11C.861	MIRAGE1	2
Y57G11C.878	Tc9	2
Y57G11C.893	WBT00000637	2
Y57G11C.940	MIRAGE1	2
Y64G10A.205	Tc5A	2
Y64G10A.246	Tc1	2
Y64G10A.296	TURMOIL2	2
Y64G10A.34	MARINER5	2
Y73B6BL.246	LINE2G	2
Y73B6BL.264	PALTA1	2
Y73B6BR.28	Tc1A	2
Y73F8A.1074	WBT00000650	2
Y73F8A.1128	MIRAGE1	2
Y73F8A.247	CER1	2
Y73F8A.332	WBT00000637	2
Y73F8A.350	LINE2G	2
Y73F8A.51	WBT00000642	2
Y73F8A.625	Tc5A	2
Y73F8A.704	WBT00000634	2
Y73F8A.966	LINE2G	2
ZK616.36	Chapaev-1	2
ZK75.5	Tc6	2
AC7.4	HAT2	3
AC7.4	WBT00000416	3
AC7.52	CELE4	3
B0350.45	LINE2D	3
B0478.22	LINE2C	3
C01B10.21	CER13-I	3
C01B10.29	CER13-I	3
C05D10.7	HELITRON1	3
C05D10.7	LINE2H	3
C06E7.63	WBT00000590	3
C06E7.8	HAT3	3
C09B9.33	LONGPAL1	3
C09G4.6	DNA-3-1	3
C10G6.30	WBT00000204	3
C10G6.49	WBT00000714	3
C11D2.34	Chapaev-1	3
C11D2.35	WBT00000617	3
C11D2.94	MARINER4	3
C24D10.39	HELITRON2	3
C25A8.7	MIRAGE1	3
C35D6.28	CEREP1A	3
C39H7.64	CER10-I	3
C46G7.20	Tc5	3
C46G7.80	WBT00000047	3
C47A4.104	Chapaev-1	3
C47A4.123	Tc2	3
C47A4.66	LINE2A	3
C47A4.88	Tc2	3
C55C3.53	WBT00000588	3
C55C3.53	WBT00000628	3
E03H12.11	CELE12B	3
E03H12.19	Chapaev-1	3
E03H12.19	Tc1	3
F02H6.47	PALTTTAAA2	3
F13G11.132	HELITRON1	3
F13G11.43	CER16-2-I	3
F17E5.3	WBT00000637	3
F26D12.49	MARINER2	3
F26D12.5	MIRAGE1	3
F38A5.16	CER16-I	3
F38C2.32	CER5-I	3
F38E11.18	PALTTTAAA1	3
F41E6.16	Tc2	3
F52B11.48	LINE2H	3
F52D4.22	WBT00000627	3
F52G2.9	PAL3A	3
F54D1.15	WBT00000134	3
F55B11.104	LONGPAL1	3
F55B11.104	Tc6	3
H01M01.1	CER8-I	3
H04M03.24	TURMOIL1	3
H08M01.60	Chapaev-2	3
H08M21.9	WBT00000134	3
H12I19.18	CER3-I	3
H12I19.72	LINE2C	3
H12I19.72	WBT00000599	3
H12I19.87	WBT00000132	3
H32C10.79	Vingi-2	3
K01G12.13	Chapaev-1	3
K01G12.13	LONGPAL3	3
K01G12.16	WBT00000637	3
M03D4.50	WBT00000416	3
M199.125	PALTA5	3
M199.87	PAL8C_4	3
M199.95	PAL8C_3	3
T05B11.8	MARINER4	3
T08B6.15	CER16-I	3
T12E12.32	CER1	3
T13A10.53	WBT00000047	3
T24H10.9	LINE2G	3
T27E7.37	CEREP1A	3
T27E7.69	Vingi-1	3
T28A11.23	CER10-I	3
W03F8.12	WBT00000637	3
W03F8.64	CELE46A	3
Y105C5A.1032	WBT00000416	3
Y105C5A.1050	WBT00000416	3
Y105C5A.1101	MARINER5	3
Y105C5A.1204	CER3-I	3
Y105C5A.1212	WBT00000665	3
Y105C5A.251	WBT00000665	3
Y105C5A.449	WBT00000618	3
Y105C5A.520	Tc2	3
Y105C5A.544	HAT4	3
Y105C5A.572	HAT4	3
Y105C5A.574	WBT00000628	3
Y105C5A.724	CEMUDR1	3
Y105C5A.778	PALTA4	3
Y105C5A.786	CER3-I	3
Y105C5A.827	WBT00000416	3
Y105C5A.852	Tc1	3
Y105C5A.864	HELITRON2	3
Y105C5A.877	Tc5	3
Y105C5A.934	WBT00000637	3
Y105C5A.939	Chapaev-2	3
Y105C5A.983	MIRAGE1	3
Y105C5B.1035	WBT00000618	3
Y105C5B.1057	CER1	3
Y105C5B.1094	PALTA1	3
Y105C5B.1106	Tc5A	3
Y105C5B.115	WBT00000134	3
Y105C5B.1191	PALTTTAAA3	3
Y105C5B.1333	Tc6	3
Y105C5B.1366	Tc6	3
Y105C5B.1368	CER1	3
Y105C5B.1396	MARINER3	3
Y105C5B.230	CER1	3
Y105C5B.286	WBT00000637	3
Y105C5B.417	TURMOIL2	3
Y105C5B.47	Tc5	3
Y105C5B.628	Tc9	3
Y105C5B.692	CER7-I	3
Y105C5B.695	Tc5B	3
Y105C5B.712	LINE2F	3
Y105C5B.762	LINE2H	3
Y105C5B.763	CER16-I	3
Y105C5B.867	WBT00000598	3
Y105C5B.882	WBT00000700	3
Y105C5B.932	Tc4v	3
Y105C5B.945	CEREP1A	3
Y116A8A.117	PALTTTAAA2	3
Y116A8A.134	CER3-I	3
Y116A8A.134	WBT00000416	3
Y116A8A.35	WBT00000757	3
Y116A8A.91	MARINER3	3
Y116A8C.158	WBT00000132	3
Y116A8C.183	CER5-I	3
Y116A8C.186	MARINER3	3
Y116A8C.227	CEMUDR2	3
Y116A8C.261	WBT00000637	3
Y116A8C.274	MAR	3
Y116A8C.274	NDNAX3	3
Y116A8C.278	MIRAGE1	3
Y116A8C.278	Tc6	3
Y116A8C.403	Tc3	3
Y116A8C.84	MARINER3	3
Y17G9A.51	CER13-I	3
Y37A1A.61	CER13-I	3
Y37A1B.166	CER15-1-I	3
Y37A1B.183	Tc4v	3
Y37A1B.227	PALTA1	3
Y37A1B.280	Tc4v	3
Y40H7A.167	Chapaev-1	3
Y40H7A.18	Tc5	3
Y40H7A.261	WBT00000084	3
Y40H7A.266	HELITRON2	3
Y41E3.229	WBT00000637	3
Y41E3.242	CELE4	3
Y41E3.272	TURMOIL2	3
Y41E3.293	CER8-I	3
Y41E3.311	WBT00000718	3
Y41E3.323	TURMOIL2	3
Y41E3.342	WBT00000750	3
Y41E3.417	WBT00000637	3
Y41E3.43	NeSL-1	3
Y41E3.54	WBT00000637	3
Y43D4A.117	LINE2G	3
Y43D4A.32	PAL9A	3
Y43D4A.57	LINE2G	3
Y45F10D.123	LINE2G	3
Y45F10D.70	WBT00000645	3
Y45F10D.74	TURMOIL2	3
Y45F10D.98	CER16-I	3
Y4C6A.58	PAL8A	3
Y4C6A.58	TURMOIL2	3
Y51H4A.180	Tc1	3
Y51H4A.191	WBT00000638	3
Y51H4A.234	MARINER3	3
Y51H4A.269	MARINER3	3
Y51H4A.35	WBT00000134	3
Y51H4A.516	MARINER5	3
Y51H4A.535	CER12-I	3
Y51H4A.555	WBT00000637	3
Y51H4A.667	MARINER5	3
Y51H4A.820	WBT00000637	3
Y51H4A.831	Chapaev-1	3
Y51H4A.882	WBT00000637	3
Y51H4A.887	WBT00000757	3
Y51H4A.92	WBT00000634	3
Y57G11A.185	LINE2B	3
Y57G11A.199	WBT00000600	3
Y57G11B.176	Tc5	3
Y57G11C.1039	PALTTTAAA3	3
Y57G11C.1053	MARINER3	3
Y57G11C.1070	MARINER2	3
Y57G11C.208	CER15-I	3
Y57G11C.429	CER10-I	3
Y57G11C.506	WBT00000637	3
Y57G11C.553	WBT00000637	3
Y57G11C.678	CEMUDR1	3
Y57G11C.752	WBT00000074	3
Y57G11C.770	CER10-I	3
Y57G11C.802	PALTTTAAA3	3
Y57G11C.826	CER8-I	3
Y57G11C.842	MARINER3	3
Y57G11C.934	WBT00000047	3
Y57G11C.974	WBT00000637	3
Y64G10A.108	MARINER3	3
Y64G10A.314	CER3-I	3
Y64G10A.330	HELITRON2	3
Y67A10A.143	LINE2E	3
Y67A10A.183	LINE2E	3
Y67A10A.209	MARINER5	3
Y67A10A.222	Tc5	3
Y67A10A.249	WBT00000637	3
Y67A10A.266	MIRAGE1	3
Y71G12B.34	HELITRONY1	3
Y73B6BL.201	WBT00000134	3
Y73B6BL.242	WBT00000718	3
Y73B6BL.90	LINE2F	3
Y73B6BL.94	WBT00000700	3
Y73B6BL.97	CER9-I	3
Y73B6BL.97	MARINER3	3
Y73C8B.7	CER1	3
Y73F8A.1008	LONGPAL3	3
Y73F8A.242	MARINER3	3
Y73F8A.448	WBT00000084	3
Y73F8A.45	WBT00000637	3
Y73F8A.507	WBT00000084	3
Y73F8A.884	WBT00000637	3
Y73F8A.923	MIRAGE1	3
Y73F8A.938	WBT00000746	3
Y73F8A.995	PALTA2	3
Y7A9C.25	MAR	3
Y9C9A.76	WBT00000637	3
Y9C9A.84	LINE2A	3
ZK381.30	CELE12A	3
ZK381.30	WBT00000416	3
ZK550.24	WBT00000581	3
ZK550.25	WBT00000581	3
ZK822.7	CER15-I	3
ZK896.10	WBT00000637	3
AC7.48	WBT00000046	4
AC7.66	WBT00000718	4
AC7.68	Tc3	4
B0273.56	MARINER2	4
B0273.73	WBT00000046	4
B0350.10	PALTA2	4
B0513.40	Tc5	4
B0513.40	WBT00000649	4
B0513.75	TURMOIL2	4
B0513.75	WBT00000600	4
B0513.84	CER8-I	4
C11D2.38	CER7-I	4
C11D2.42	TURMOIL2	4
C11D2.53	Tc6	4
C11D2.91	MARINER5	4
C24D10.39	PALTTTAAA2	4
C25G4.12	CER16-2-I	4
C27H2.70	LINE2G	4
C27H2.75	HELITRON1	4
C27H2.75	PALTTTAAA2	4
C29F4.5	HELITRON1	4
C30H6.14	Vingi-1	4
C35D6.28	CEMUDR2	4
C35D6.28	CER8-I	4
C35D6.28	CER9-I	4
C35D6.28	MIRAGE1	4
C35D6.77	WBT00000600	4
C35D6.95	TURMOIL2	4
C39H7.44	LINE2G	4
C42C1.17	Chapaev-2	4
C45E5.45	WBT00000718	4
C47A4.20	WBT00000637	4
C47A4.68	PAL9A	4
C47A4.92	LTRCER1	4
C47E12.15	Chapaev-1	4
C55C3.32	MIRAGE1	4
D1009.6	WBT00000600	4
F13G11.13	WBT00000757	4
F13G11.56	WBT00000600	4
F13G11.92	WBT00000047	4
F17H10.5	LONGPAL1	4
F26D12.30	MARINCE1	4
F26D12.52	Tc5A	4
F26D12.6	Tc5	4
F38C2.22	Chapaev-1	4
F38C2.75	CER5-I	4
F38E11.18	TIR9TA1C	4
F40G9.16	WBT00000676	4
F52B11.54	MAR	4
F52B11.79	LINE2H	4
F52B11.80	MAR	4
F52B11.81	MAR	4
F52B11.87	LINE2H	4
F52B5.8	WBT00000746	4
H08M01.60	HELITRONY1	4
H08M01.60	Tc1	4
H12I19.80	CER15-I	4
H16O14.46	NPALTA1	4
H32C10.23	MIRAGE1	4
H34C03.9	CER15-I	4
H35B03.8	CER15-I	4
H35B03.8	Chapaev-1	4
K01G12.19	Tc5	4
M03D4.36	MAR	4
M199.122	WBT00000416	4
M199.131	WBT00000416	4
M199.95	PAL8C_4	4
M28.12	HELITRON2	4
R05A10.57	CER3-I	4
R05A10.67	WBT00000047	4
T06A10.103	WBT00000201	4
T06A10.58	WBT00000637	4
T06A10.80	WBT00000637	4
T25G12.12	LONGPAL1	4
T27E7.55	CER10-I	4
W03B1.12	CELE46A	4
W03F8.47	LINE2D	4
W03F8.47	MAR	4
Y105C5A.1166	Tc5	4
Y105C5A.1166	TIR9TA1C	4
Y105C5A.1166	WBT00000416	4
Y105C5A.1172	Tc5B	4
Y105C5A.1197	CER1	4
Y105C5A.1223	WBT00000047	4
Y105C5A.1258	PAL9A	4
Y105C5A.1258	Tc5	4
Y105C5A.143	WBT00000634	4
Y105C5A.156	MIRAGE1	4
Y105C5A.210	CEMUDR2	4
Y105C5A.231	CELE4	4
Y105C5A.39	LINE2G	4
Y105C5A.458	CER16-2-I	4
Y105C5A.499	WBT00000637	4
Y105C5A.519	TURMOIL2	4
Y105C5A.523	MAR	4
Y105C5A.593	WBT00000416	4
Y105C5A.595	MARINER3	4
Y105C5A.605	MARINER3	4
Y105C5A.715	WBT00000600	4
Y105C5A.801	CER15-1-I	4
Y105C5A.877	TIR9TA1C	4
Y105C5A.879	TURMOIL1	4
Y105C5A.906	WBT00000736	4
Y105C5A.983	Chapaev-1	4
Y105C5B.1012	CER9-I	4
Y105C5B.1062	WBT00000600	4
Y105C5B.1094	CER11-I	4
Y105C5B.1094	PALTTAA3	4
Y105C5B.111	LINE2E	4
Y105C5B.1222	PALTTAA3	4
Y105C5B.1243	MARINER5	4
Y105C5B.1247	CER12-I	4
Y105C5B.1247	WBT00000084	4
Y105C5B.1271	HELITRONY1A	4
Y105C5B.1291	Chapaev-2	4
Y105C5B.1346	WBT00000600	4
Y105C5B.1362	PAL9A	4
Y105C5B.1362	Tc5	4
Y105C5B.1378	CER1	4
Y105C5B.1396	CER1	4
Y105C5B.340	Tc4v	4
Y105C5B.417	Tc5A	4
Y105C5B.445	PAL8C_3	4
Y105C5B.583	CELE46A	4
Y105C5B.623	LINE2C	4
Y105C5B.623	NDNAX2	4
Y105C5B.695	PALTA1	4
Y105C5B.762	NDNAX1	4
Y105C5B.926	LINE2C1	4
Y105C5B.928	WBT00000134	4
Y116A8A.116	Chapaev-1	4
Y116A8A.17	MARINER3	4
Y116A8A.45	Chapaev-2	4
Y116A8A.61	Tc5A	4
Y116A8B.74	CER15-1-I	4
Y116A8C.143	Chapaev-1	4
Y116A8C.158	MARINER3	4
Y116A8C.208	PALTA1	4
Y116A8C.264	LINE2G	4
Y116A8C.274	WBT00000637	4
Y116A8C.305	MARINER4	4
Y116A8C.307	CER9-I	4
Y116A8C.374	WBT00000601	4
Y116A8C.404	WBT00000047	4
Y116A8C.429	LINE2F	4
Y116A8C.461	MARINER4	4
Y17G9A.41	CER3-I	4
Y17G9B.10	CER9-I	4
Y37A1A.123	WBT00000637	4
Y37A1A.27	CER1	4
Y37A1A.49	WBT00000746	4
Y37A1B.150	Tc6	4
Y37A1B.152	Tc4v	4
Y37A1B.174	CER7-I	4
Y37A1B.174	WBT00000637	4
Y37A1B.218	CER7-I	4
Y37A1B.218	WBT00000637	4
Y37A1B.24	WBT00000637	4
Y37A1B.276	MAR	4
Y40H7A.130	MAR	4
Y40H7A.203	CER2-I	4
Y40H7A.218	CER7-I	4
Y40H7A.225	Tc5	4
Y40H7A.233	HELITRON1	4
Y40H7A.233	HELITRON2	4
Y40H7A.233	PALTTTAAA2	4
Y40H7A.249	Vingi-2	4
Y40H7A.278	LINE2G	4
Y40H7A.278	WBT00000213	4
Y40H7A.33	MAR	4
Y40H7A.41	CELE46B	4
Y41E3.146	WBT00000637	4
Y41E3.235	PALTTTAAA2	4
Y41E3.269	WBT00000074	4
Y41E3.281	LINE2G	4
Y41E3.372	HAT3	4
Y41E3.89	CER6	4
Y43D4A.103	WBT00000632	4
Y45F10D.127	TURMOIL2	4
Y45F10D.134	LINE2A	4
Y45F10D.29	CEMUDR2	4
Y45F10D.53	TURMOIL2	4
Y45F10D.81	WBT00000637	4
Y4C6A.39	LINE2D	4
Y4C6A.39	MAR	4
Y4C6A.57	WBT00000134	4
Y4C6A.57	WBT00000637	4
Y4C6B.32	MIRAGE1	4
Y4C6B.43	CEREP1A	4
Y51H4A.130	HELITRON1	4
Y51H4A.134	TURMOIL2	4
Y51H4A.204	HELITRON1	4
Y51H4A.216	CEMUDR1	4
Y51H4A.335	WBT00000637	4
Y51H4A.418	CER9-I	4
Y51H4A.471	MIRAGE1	4
Y51H4A.479	WBT00000084	4
Y51H4A.513	CER8-I	4
Y51H4A.549	MIRAGE1	4
Y51H4A.651	WBT00000637	4
Y51H4A.689	Tc3	4
Y51H4A.689	WBT00000074	4
Y51H4A.74	CER16-2-I	4
Y51H4A.746	WBT00000637	4
Y51H4A.771	Chapaev-1	4
Y51H4A.82	WBT00000134	4
Y51H4A.900	LINE2C	4
Y57G11A.104	WBT00000600	4
Y57G11A.148	Tc9	4
Y57G11A.194	Tc4v	4
Y57G11A.194	Tc9	4
Y57G11A.84	MARINER3	4
Y57G11B.199	WBT00000134	4
Y57G11B.38	WBT00000084	4
Y57G11B.91	LINE2A	4
Y57G11C.1015	PALTTTAAA3	4
Y57G11C.116	CER8-I	4
Y57G11C.121	CER6	4
Y57G11C.260	HAT3	4
Y57G11C.260	Tc6	4
Y57G11C.549	CER10-I	4
Y57G11C.736	CER5-I	4
Y57G11C.746	CEMUDR1	4
Y57G11C.768	LINE2D	4
Y57G11C.838	CER15-1-I	4
Y57G11C.838	CER15-I	4
Y57G11C.885	MARINER3	4
Y57G11C.896	NTc2A	4
Y57G11C.905	WBT00000047	4
Y57G11C.972	CER8-I	4
Y57G11C.991	HELITRONY1	4
Y59H11AR.7	MARINER3	4
Y64G10A.124	CER3-I	4
Y64G10A.162	CER3-I	4
Y64G10A.239	CER9-I	4
Y64G10A.255	LINE2C	4
Y64G10A.353	CER17-I	4
Y64G10A.38	LINE2C	4
Y67A10A.175	MAR	4
Y67A10A.198	Chapaev-2	4
Y67A10A.254	LINE2C	4
Y67A10A.68	LINE2C	4
Y73B6BL.231	CER8-I	4
Y73F8A.1018	MARINER3	4
Y73F8A.1084	MARINER5	4
Y73F8A.1135	WBT00000637	4
Y73F8A.185	Chapaev-1	4
Y73F8A.219	CER16-I	4
Y73F8A.276	WBT00000637	4
Y73F8A.283	Tc2	4
Y73F8A.412	CER15-1-I	4
Y73F8A.45	Tc1A	4
Y73F8A.51	Tc9	4
Y73F8A.514	CEMUDR1	4
Y73F8A.547	CER6	4
Y73F8A.564	CEMUDR1	4
Y73F8A.597	Tc1A	4
Y73F8A.607	LINE2C	4
Y73F8A.628	MARINER4	4
Y73F8A.632	WBT00000416	4
Y73F8A.633	CEMUDR1	4
Y73F8A.668	Chapaev-1	4
Y73F8A.681	HELITRONY1	4
Y73F8A.774	CER8-I	4
Y73F8A.842	WBT00000746	4
Y73F8A.857	Tc2	4
Y73F8A.862	MIRAGE1	4
Y73F8A.938	MIRAGE1	4
Y73F8A.979	WBT00000598	4
Y7A9A.12	MARINER4	4
Y7A9A.32	WBT00000207	4
Y7A9C.15	MAR	4
Y7A9D.52	WBT00000590	4
Y9C9A.107	CEMUDR1	4
Y9C9A.86	CER15-I	4
ZK250.11	CEMUDR1	4
ZK381.27	WBT00000600	4
ZK550.18	CER8-I	4
ZK550.41	WBT00000581	4
AC7.40	CER2-I	5
AC7.44	LINE2G	5
AC7.48	PAL9A	5
AC7.55	CER2-I	5
AC7.61	WBT00000046	5
AC7.68	WBT00000084	5
AC7.74	CER2-I	5
B0273.102	MAR	5
B0273.34	MAR	5
B0273.49	Chapaev-2	5
B0273.55	WBT00000047	5
B0273.56	WBT00000416	5
B0273.94	WBT00000047	5
B0350.39	Tc4v	5
B0350.50	CER13-I	5
B0350.51	CER13-I	5
B0478.4	CER3-I	5
B0513.19	WBT00000581	5
B0513.29	CER8-I	5
B0513.71	CER9-I	5
B0513.75	CER15-I	5
B0513.75	MIRAGE1	5
B0513.75	WBT00000047	5
B0513.85	CER13-I	5
B0547.29	WBT00000047	5
C01B10.15	LINE2F	5
C02B10.13	WBT00000201	5
C02B10.34	CER15-I	5
C02B10.54	Tc4v	5
C02B8.10	WBT00000746	5
C05D10.6	MARINCE1	5
C06E4.13	WBT00000637	5
C06E7.55	WBT00000637	5
C08F11.39	CER8-I	5
C08F11.51	WBT00000416	5
C08F11.61	LINE2D	5
C08F11.61	MAR	5
C08F11.66	LINE2C	5
C09B9.24	Tc4v	5
C09B9.69	WBT00000600	5
C09B9.79	TURMOIL2	5
C09D4.7	HELITRON2	5
C10G6.29	LONGPAL1	5
C11D2.13	CER11-I	5
C11D2.38	CER15-I	5
C11D2.60	WBT00000637	5
C11D2.63	Chapaev-1	5
C11D2.73	MIRAGE1	5
C11D2.80	LINE2C	5
C11D2.92	Chapaev-1	5
C12D12.8	IR3	5
C12D12.8	PALTTAA1	5
C13B4.4	WBT00000047	5
C17H12.16	CEMUDR1	5
C17H12.16	WBT00000637	5
C17H12.29	WBT00000637	5
C24D10.39	LINE2H	5
C24D10.39	PALTTTAAA3	5
C27H2.101	WBT00000718	5
C27H2.103	MARINER3	5
C27H2.111	HELITRON2	5
C27H2.16	CER7-I	5
C27H2.73	WBT00000637	5
C27H2.87	PALTA1	5
C29E4.16	HELITRONY1A	5
C31E10.9	Chapaev-1	5
C31H1.43	WBT00000416	5
C31H1.61	WBT00000598	5
C31H1.73	WBT00000047	5
C31H1.91	TURMOIL1	5
C32H11.14	CER2-LTR	5
C33G3.7	CEMUDR1	5
C35D6.18	WBT00000637	5
C35D6.38	MIRAGE1	5
C35D6.42	CER15-I	5
C35D6.58	MARINER3	5
C35D6.68	TURMOIL1	5
C35D6.75	CER15-I	5
C39E9.15	CER9-I	5
C39H7.28	WBT00000275	5
C39H7.28	WBT00000714	5
C39H7.29	CER2-I	5
C39H7.34	Chapaev-1	5
C39H7.48	TIR23T5A	5
C39H7.64	Tc6	5
C39H7.64	WBT00000275	5
C42C1.17	PALTA2	5
C46G7.45	WBT00000637	5
C46G7.67	WBT00000637	5
C46G7.80	PAL8C_4	5
C46G7.80	WBT00000598	5
C46G7.96	WBT00000713	5
C47A4.15	MIRAGE1	5
C47A4.22	LONGPAL1	5
C47A4.58	CER13-I	5
C47A4.99	WBT00000204	5
C47E12.15	WBT00000628	5
C49A9.15	LINE2G	5
C52D10.111	CER3-I	5
C52D10.65	CER6	5
C56A3.11	MARINER5	5
E03H12.13	WBT00000416	5
E03H12.16	NDNAX3	5
E03H12.19	Merlin1m	5
E03H12.19	Tc6	5
F02H6.37	LINE2C	5
F02H6.61	LINE2C	5
F02H6.64	TURMOIL1	5
F02H6.64	WBT00000084	5
F11E6.17	WBT00000648	5
F13G11.132	Chapaev-1	5
F13G11.132	WBT00000047	5
F13G11.132	WBT00000644	5
F13G11.31	PAL9A	5
F13G11.67	MARINER3	5
F13G11.74	WBT00000637	5
F13G11.92	Chapaev-1	5
F13G11.92	WBT00000644	5
F23C11.1	MARINER3	5
F25F8.4	LONGPAL1	5
F26D12.47	MARINER3	5
F26D12.49	CELETC2	5
F26D12.91	WBT00000637	5
F26D12.94	WBT00000700	5
F35D6.11	PALTTTAAA1	5
F35D6.14	PALTTTAAA1	5
F36H12.54	Tc5A	5
F38C2.33	CER5-I	5
F38C2.38	PALTTTAAA3	5
F38C2.47	WBT00000600	5
F38C2.59	MARINER5	5
F38C2.62	CER17-I	5
F38C2.82	LINE2C	5
F38E11.18	LONGPAL2	5
F41H10.30	WBT00000207	5
F44E8.13	LINE2G	5
F45D3.6	LINE2C	5
F52A8.7	LINE2F	5
F52B11.78	WBT00000736	5
F52B11.91	Tc5	5
F52D4.24	WBT00000637	5
F54E7.12	LONGPAL1	5
F55B11.104	CER1	5
F55B11.113	WBT00000700	5
F56F11.6	Chapaev-1	5
F56F12.27	WBT00000046	5
F56F12.8	LONGPAL1	5
F57G9.8	CER2-I	5
H06H21.18	Tc6	5
H06H21.24	WBT00000637	5
H08M01.113	Tc5	5
H08M01.6	MARINCE1	5
H08M01.6	TURMOIL1	5
H08M01.60	WBT00000637	5
H08M01.71	MAR	5
H09I01.3	WBT00000637	5
H12I19.11	LINE2C	5
