Chromosome	Chromosome Start	Chromosome End	Transposable Element Name	Orientation
II	2308399	2309566	WBT00000736	+
II	2366128	2366473	WBT00000383	-
II	2498120	2498893	WBT00000161	+
II	2553770	2556450	WBT00000430	+
II	2980282	2982620	WBT00000058	+
II	3226538	3228875	WBT00000070	+
II	3307692	3308952	WBT00000231	-
II	3351104	3351274	WBT00000475	+
II	3351579	3356987	WBT00000668	-
II	3358400	3358552	WBT00000476	-
II	3456156	3457379	WBT00000141	-
II	3601657	3602903	WBT00000181	-
II	3696202	3697452	WBT00000446	-
II	3761761	3763005	WBT00000305	-
II	3769111	3770721	WBT00000346	+
II	3882420	3884812	WBT00000665	+
II	3885520	3887031	WBT00000320	+
II	3939320	3941657	WBT00000063	+
II	4051247	4054442	WBT00000100	+
II	4168678	4169607	WBT00000029	+
II	4211953	4212333	WBT00000380	-
II	4317940	4318843	WBT00000721	-
II	4475646	4476902	WBT00000241	+
II	4896927	4898358	WBT00000699	+
II	4926865	4928109	WBT00000197	+
II	5754581	5755746	WBT00000284	+
II	6301865	6302894	WBT00000660	-
II	6429335	6429723	WBT00000390	+
II	6571222	6572833	WBT00000033	-
II	6795065	6798259	WBT00000098	+
II	7078954	7081291	WBT00000061	+
II	7390993	7391914	WBT00000102	+
II	7439518	7443980	WBT00000688	-
II	7502295	7504632	WBT00000060	-
II	7516673	7518284	WBT00000031	-
II	7922551	7924154	WBT00000274	+
II	8096815	8097851	WBT00000296	+
II	8229129	8230634	WBT00000621	+
II	8910407	8910723	WBT00000133	+
II	9363411	9363565	WBT00000454	-
II	9534137	9536594	WBT00000132	-
II	9673405	9674824	WBT00000619	-
II	10130420	10130918	WBT00000204	+
II	10465707	10466310	WBT00000334	-
II	10635653	10638047	WBT00000212	+
II	10904482	10905728	WBT00000157	+
II	11127899	11128324	WBT00000382	-
II	11230562	11231807	WBT00000171	+
II	11440953	11442559	WBT00000088	+
II	11550823	11555439	WBT00000294	-
II	11552774	11555366	WBT00000353	+
II	11768304	11768732	WBT00000290	-
II	12249487	12250742	WBT00000251	-
II	12285357	12286966	WBT00000272	+
II	12412961	12413963	WBT00000590	-
II	12520749	12522360	WBT00000015	+
II	12569501	12570125	WBT00000609	-
II	12750811	12752422	WBT00000021	+
II	13252060	13259651	WBT00000603	+
II	13307612	13309171	WBT00000028	+
II	13646471	13648097	WBT00000596	+
II	14368988	14372535	WBT00000046	+
II	14393455	14393880	WBT00000379	+
II	14538798	14539959	WBT00000262	-
II	14687825	14693449	WBT00000005	+
II	14977755	14979012	WBT00000250	-
II	15171971	15173218	WBT00000183	+
III	119278	119466	WBT00000365	-
III	358234	358380	WBT00000525	+
III	393244	395662	WBT00000696	-
III	484168	484323	WBT00000473	+
III	503020	504278	WBT00000230	+
III	527510	528626	WBT00000304	-
III	700518	701037	WBT00000658	-
III	863296	863448	WBT00000526	-
III	934471	935719	WBT00000172	-
III	941830	943059	WBT00000448	-
III	1122893	1124136	WBT00000187	-
III	1293379	1294625	WBT00000194	-
III	1372600	1372697	WBT00000564	+
III	1579373	1580222	WBT00000347	-
III	2055540	2056711	WBT00000247	-
III	2119192	2120803	WBT00000018	+
III	2609655	2609752	WBT00000557	+
III	3036510	3036598	WBT00000548	+
III	3275617	3277786	WBT00000086	+
III	3337860	3337985	WBT00000547	+
III	3413549	3413688	WBT00000496	-
III	3448565	3451099	WBT00000616	-
III	3543889	3545147	WBT00000225	+
III	3693072	3693500	WBT00000406	-
III	3794699	3795046	WBT00000400	+
III	3859330	3860576	WBT00000146	-
III	4046849	4047355	WBT00000424	-
III	4298087	4299333	WBT00000169	-
III	4873810	4873962	WBT00000469	-
III	5091049	5091604	WBT00000680	-
III	5098171	5098767	WBT00000123	+
III	5169104	5169299	WBT00000393	-
III	5282437	5283492	WBT00000349	+
III	5337208	5338048	WBT00000678	-
III	5459465	5461071	WBT00000340	-
III	5788220	5789812	WBT00000270	-
III	5850356	5850805	WBT00000371	+
III	6511268	6511781	WBT00000689	+
III	6575790	6577036	WBT00000153	+
III	6630160	6631713	WBT00000010	+
III	6918380	6920150	WBT00000705	+
III	6998125	6999787	WBT00000653	-
III	7105364	7106611	WBT00000135	-
III	7182407	7182530	WBT00000484	+
III	7326293	7328824	WBT00000683	+
III	7477244	7478496	WBT00000127	+
III	7958672	7961317	WBT00000681	-
III	8203936	8204778	WBT00000222	-
III	8414634	8415729	WBT00000735	+
III	8694363	8696699	WBT00000052	+
III	8735294	8736553	WBT00000258	-
III	8852596	8861460	CER1	+
III	9497546	9497688	WBT00000494	-
III	9603976	9605479	WBT00000321	-
III	9684337	9684804	WBT00000311	-
III	9917178	9918393	WBT00000606	-
III	10229930	10230382	WBT00000414	+
III	10556259	10557516	WBT00000243	-
III	10609632	10609753	WBT00000534	-
III	10845671	10847470	WBT00000583	+
III	11605280	11607617	WBT00000068	+
III	11665561	11665682	WBT00000535	+
III	11883827	11884949	WBT00000643	-
III	11948083	11948180	WBT00000549	+
III	12518405	12519651	WBT00000192	-
III	12865165	12866776	WBT00000039	-
III	12895294	12895445	WBT00000531	-
III	13230086	13237296	WBT00000639	-
III	13293133	13296541	WBT00000587	-
III	13382284	13382590	WBT00000396	+
III	13522042	13523650	WBT00000091	+
III	13628593	13628744	WBT00000520	-
III	13708289	13708403	WBT00000575	-
III	13708727	13708914	WBT00000576	+
III	13738595	13738993	WBT00000408	-
III	13775399	13777022	WBT00000268	+
III	13781343	13782223	WBT00000261	-
IV	116813	117907	WBT00000317	+
IV	203060	203205	WBT00000532	+
IV	205363	205547	WBT00000533	-
IV	249600	249759	WBT00000514	-
IV	278556	278688	WBT00000521	-
IV	332901	333346	WBT00000376	-
IV	353477	353934	WBT00000413	-
IV	372669	372755	WBT00000553	-
IV	507688	513307	WBT00000006	+
IV	701904	707528	WBT00000001	+
IV	914138	919498	WBT00000685	+
IV	1137501	1139061	WBT00000664	-
IV	1161787	1162093	WBT00000368	-
IV	1270458	1272835	WBT00000056	-
IV	1271038	1272076	WBT00000674	-
IV	1511192	1512479	WBT00000439	+
IV	1646809	1646915	WBT00000536	-
IV	1646855	1646953	WBT00000537	+
IV	1770550	1771805	WBT00000248	+
IV	1884724	1885645	WBT00000108	+
IV	1981934	1984751	WBT00000729	-
IV	2368329	2371521	WBT00000099	+
IV	2485118	2486728	WBT00000036	-
IV	2589042	2591223	WBT00000725	+
IV	2902771	2909933	WBT00000722	-
IV	3078074	3078178	WBT00000554	+
IV	3281460	3281890	WBT00000403	+
IV	3313933	3316757	WBT00000723	+
IV	3461957	3462930	WBT00000124	+
IV	3498480	3501957	WBT00000093	-
IV	3948428	3952262	WBT00000717	+
IV	4097626	4097724	WBT00000468	-
IV	4180225	4184978	WBT00000742	-
IV	4220442	4221687	WBT00000154	-
IV	4304519	4305583	WBT00000229	-
IV	4500417	4502014	WBT00000273	+
IV	4504353	4504498	WBT00000573	+
IV	4546776	4546931	WBT00000574	-
IV	4559819	4562237	WBT00000740	-
IV	4715979	4720732	WBT00000743	+
IV	4768678	4771474	WBT00000701	+
IV	5003485	5003936	WBT00000407	-
IV	5056357	5056474	WBT00000460	+
IV	5610861	5612101	WBT00000280	+
IV	5793857	5794416	WBT00000423	+
IV	6006354	6008502	WBT00000751	-
IV	6141337	6142604	WBT00000237	-
IV	6162998	6163102	WBT00000462	+
IV	6343545	6347549	WBT00000737	+
IV	6793702	6793870	WBT00000465	-
IV	6865586	6866839	WBT00000240	-
IV	6947724	6950437	WBT00000651	-
IV	7012370	7012464	WBT00000456	-
IV	7053612	7053945	WBT00000654	-
IV	7145351	7147226	WBT00000661	+
IV	7197813	7197967	WBT00000516	-
IV	7524347	7525593	WBT00000166	+
IV	7625332	7626575	WBT00000291	-
IV	7803542	7804382	WBT00000336	-
IV	8097219	8098252	WBT00000355	+
IV	8400636	8403829	WBT00000097	-
IV	8434760	8435187	WBT00000402	+
IV	8734418	8734887	WBT00000427	-
IV	9041384	9041536	WBT00000559	+
IV	9172246	9172610	WBT00000361	-
IV	9246299	9246755	WBT00000636	+
IV	9331483	9332722	WBT00000302	+
IV	9347434	9348650	WBT00000129	+
IV	9405831	9406258	WBT00000388	+
IV	9412607	9413853	WBT00000160	-
IV	9502721	9503967	WBT00000145	+
IV	9548472	9556006	WBT00000627	-
IV	9620309	9621568	WBT00000246	-
IV	9685262	9686873	WBT00000020	+
IV	9750024	9751278	WBT00000221	-
IV	9808197	9809358	WBT00000245	+
IV	9851530	9851894	WBT00000211	-
IV	10549684	10551127	WBT00000630	+
IV	10884608	10885061	WBT00000601	+
IV	11189716	11191738	WBT00000624	-
IV	11192688	11193933	WBT00000167	-
IV	11195736	11196581	WBT00000649	-
IV	11238872	11240119	WBT00000136	-
IV	11273626	11274075	WBT00000384	-
IV	11408366	11409535	WBT00000314	+
IV	11418812	11420474	WBT00000604	-
IV	11681076	11681492	WBT00000421	-
IV	11834708	11835130	WBT00000394	+
IV	11869461	11870707	WBT00000142	+
IV	12109855	12110004	WBT00000513	-
IV	12315119	12316366	WBT00000164	+
IV	12460727	12462558	WBT00000075	+
IV	12509828	12512165	WBT00000062	+
IV	12875373	12876630	WBT00000260	-
IV	13049916	13051158	WBT00000293	-
IV	13113952	13114972	WBT00000594	+
IV	13122815	13124060	WBT00000277	-
IV	13223717	13225328	WBT00000032	-
IV	13293757	13296818	WBT00000114	+
IV	13458847	13460092	WBT00000179	-
IV	13546913	13547062	WBT00000490	+
IV	13608861	13609018	WBT00000458	-
IV	13629317	13629456	WBT00000459	+
IV	13670994	13671582	WBT00000640	+
IV	13802469	13803688	WBT00000249	+
IV	13815051	13817388	WBT00000065	+
IV	13849891	13850911	WBT00000593	-
IV	13915512	13916758	WBT00000177	-
IV	13947037	13948324	WBT00000434	+
IV	13966232	13967490	WBT00000220	-
IV	14012382	14013628	WBT00000178	-
IV	14116971	14117991	WBT00000615	+
IV	14186414	14189810	WBT00000617	+
IV	14245732	14246497	WBT00000646	+
IV	14251276	14253920	WBT00000356	+
IV	14256262	14257508	WBT00000185	+
IV	14510873	14511009	WBT00000550	-
IV	14545533	14546780	WBT00000174	-
IV	14839218	14840271	WBT00000644	-
IV	15233526	15233678	WBT00000560	-
IV	15331124	15331261	WBT00000561	-
IV	15342491	15344661	WBT00000082	+
IV	15420361	15420514	WBT00000562	-
IV	15484098	15485709	WBT00000040	-
IV	15498697	15499943	WBT00000189	-
IV	15583641	15583792	WBT00000565	-
IV	15869074	15869214	WBT00000566	-
IV	16007911	16009156	WBT00000191	+
IV	16158876	16162885	WBT00000613	+
IV	16203658	16203754	WBT00000500	-
IV	16239984	16243848	WBT00000209	+
IV	16262675	16266570	WBT00000206	-
IV	16264683	16265482	WBT00000288	-
IV	16266268	16267605	WBT00000318	+
IV	16310827	16310975	WBT00000504	-
IV	16313162	16318586	WBT00000618	+
IV	16575843	16577091	WBT00000182	-
IV	16638443	16639484	WBT00000642	-
IV	16734740	16735918	WBT00000589	+
IV	16750036	16750408	WBT00000411	-
IV	16770320	16771137	WBT00000328	+
IV	16788623	16788775	WBT00000539	-
IV	17006317	17008487	WBT00000080	+
IV	17145400	17146644	WBT00000130	+
IV	17169416	17170703	WBT00000435	+
IV	17177848	17179100	WBT00000224	+
IV	17218411	17219658	WBT00000193	+
IV	17238068	17238220	WBT00000577	-
IV	17389774	17392147	WBT00000626	+
IV	17438810	17439603	WBT00000134	+
V	260529	263509	WBT00000724	+
V	509943	510396	WBT00000300	+
V	559071	559345	WBT00000278	+
V	607913	608452	WBT00000333	+
V	669431	670283	WBT00000121	+
V	739436	741609	WBT00000074	+
V	765782	771399	WBT00000002	+
V	791347	796361	WBT00000702	-
V	926213	927992	WBT00000236	-
V	929676	930242	WBT00000295	+
V	1035868	1037590	WBT00000700	+
V	1834156	1835678	WBT00000038	-
V	1836070	1837681	WBT00000016	+
V	1899563	1900817	WBT00000715	-
V	1915570	1916815	WBT00000307	+
V	1954611	1955177	WBT00000170	-
V	2172673	2173919	WBT00000147	+
V	2239239	2241512	WBT00000753	+
V	2325663	2326057	WBT00000375	-
V	2346634	2347882	WBT00000176	-
V	2454595	2455843	WBT00000159	-
V	2562874	2564121	WBT00000180	-
V	2632814	2634642	WBT00000713	+
V	2818248	2818714	WBT00000385	-
V	3048908	3050514	WBT00000267	-
V	3161746	3162658	WBT00000662	-
V	3251323	3252934	WBT00000043	-
V	3325116	3330741	WBT00000004	+
V	3332873	3333263	WBT00000312	+
V	3478605	3479781	WBT00000007	+
V	3590245	3591857	WBT00000026	+
V	3795224	3796470	WBT00000168	+
V	3914741	3915987	WBT00000163	-
V	3924300	3926418	WBT00000078	-
V	3989846	3991457	WBT00000024	+
V	4063733	4066384	WBT00000745	+
V	4202921	4203015	WBT00000501	+
V	4304627	4308697	WBT00000732	-
V	4312540	4313786	WBT00000196	+
V	4603248	4604504	WBT00000253	+
V	5146855	5149009	WBT00000425	-
V	5186064	5190718	WBT00000652	+
V	5209540	5209674	WBT00000542	+
V	5459330	5459423	WBT00000572	-
V	5474002	5477988	WBT00000275	+
V	5548782	5550039	WBT00000219	-
V	5667677	5668545	WBT00000422	-
V	5762092	5762506	WBT00000369	+
V	6235734	6236828	WBT00000297	+
V	6417738	6422034	WBT00000113	-
V	6554971	6555863	WBT00000690	-
V	6628230	6629475	WBT00000289	-
V	6945096	6945442	WBT00000329	+
V	7056746	7057992	WBT00000184	+
V	7309916	7310494	WBT00000264	-
V	7310499	7311342	WBT00000265	+
V	7535393	7536495	WBT00000281	+
V	8327611	8330998	WBT00000719	-
V	8475621	8485863	WBT00000708	-
V	8487102	8488347	WBT00000711	+
V	8837551	8844839	WBT00000666	+
V	8852179	8852527	WBT00000372	+
V	8879663	8886934	WBT00000692	+
V	8894274	8894622	WBT00000392	+
V	8966340	8967760	WBT00000301	-
V	9277017	9278273	WBT00000259	+
V	9493514	9496751	WBT00000210	-
V	9650480	9651269	WBT00000214	+
V	9760048	9761752	WBT00000208	+
V	9770107	9771594	WBT00000207	-
V	9890333	9891244	WBT00000030	+
V	9938520	9940182	WBT00000629	+
V	10078644	10079903	WBT00000238	+
V	10187656	10189266	WBT00000034	-
V	10284068	10285668	WBT00000271	-
V	10308738	10309981	WBT00000125	+
V	10494144	10494795	WBT00000119	+
V	10751443	10752234	WBT00000316	+
V	10773892	10775128	WBT00000149	+
V	10985835	10987080	WBT00000341	-
V	10987080	10987428	WBT00000266	-
V	11153696	11155106	WBT00000269	-
V	11288626	11290291	WBT00000027	+
V	11319474	11320721	WBT00000158	-
V	11324589	11326199	WBT00000339	+
V	11518816	11519271	WBT00000263	+
V	11590409	11591656	WBT00000126	+
V	11606866	11607882	WBT00000429	+
V	12020055	12020977	WBT00000109	+
V	12381549	12384288	WBT00000756	-
V	12800795	12802038	WBT00000310	-
V	13124096	13126255	WBT00000131	+
V	13135006	13135928	WBT00000101	+
V	13967386	13967745	WBT00000213	+
V	13998133	13998285	WBT00000495	-
V	14007218	14008078	WBT00000342	+
V	14029329	14030214	WBT00000242	+
V	14040324	14043739	WBT00000584	+
V	14066306	14067421	WBT00000120	+
V	14072184	14073423	WBT00000282	-
V	14077166	14078405	WBT00000283	+
V	14201418	14204052	WBT00000633	-
V	14622027	14623077	WBT00000232	-
V	14752149	14754476	WBT00000588	+
V	14903082	14906500	WBT00000614	+
V	15022412	15023668	WBT00000228	+
V	15157024	15157712	WBT00000631	+
V	15300560	15301806	WBT00000173	-
V	15489838	15491085	WBT00000137	-
V	15592261	15592413	WBT00000451	+
V	15616058	15617301	WBT00000276	+
V	15737396	15738640	WBT00000244	-
V	15842591	15843841	WBT00000447	-
V	15851429	15854070	WBT00000354	+
V	15854057	15854698	WBT00000324	-
V	15907139	15908750	WBT00000014	+
V	16169650	16169774	WBT00000472	+
V	16295766	16297012	WBT00000144	-
V	16312026	16313637	WBT00000013	+
V	16380595	16381850	WBT00000227	-
V	16631348	16632635	WBT00000442	-
V	16690469	16692112	WBT00000085	+
V	17095444	17097781	WBT00000072	-
V	17111237	17111787	WBT00000332	-
V	17133624	17141408	WBT00000216	-
V	17142204	17143885	WBT00000648	-
V	17180484	17180569	WBT00000485	-
V	17184141	17184293	WBT00000486	+
V	17195232	17196480	WBT00000186	+
V	17230462	17234128	WBT00000634	-
V	17332883	17333733	WBT00000122	+
V	17423251	17428288	WBT00000635	-
V	17496562	17497280	WBT00000323	-
V	17514657	17519419	WBT00000744	+
V	17576200	17580791	WBT00000598	+
V	17630199	17637631	WBT00000610	-
V	17641936	17643909	WBT00000612	+
V	17644018	17645370	WBT00000755	-
V	17645491	17648714	WBT00000754	-
V	17805798	17807409	WBT00000019	+
V	17816083	17816532	WBT00000417	+
V	17893022	17893315	WBT00000595	+
V	17902631	17903879	WBT00000138	+
V	17915484	17916120	WBT00000200	-
V	17949643	17949773	WBT00000551	+
V	18004821	18004973	WBT00000412	+
V	18119654	18121457	WBT00000638	+
V	18151055	18152301	WBT00000140	-
V	18316646	18316940	WBT00000357	+
V	18427554	18429891	WBT00000073	+
V	18442343	18443954	WBT00000025	-
V	18447842	18455008	WBT00000611	+
V	18530925	18532211	WBT00000443	+
V	18742628	18743874	WBT00000151	+
V	18764519	18766703	WBT00000054	+
V	18874482	18874610	WBT00000563	-
V	19270649	19277351	WBT00000758	-
V	19413980	19415694	WBT00000201	-
V	19443845	19443873	WBT00000512	+
V	19456358	19456468	WBT00000540	+
V	19729852	19730149	WBT00000586	+
V	19851126	19853201	WBT00000049	+
V	19962503	19964457	WBT00000645	+
V	19966459	19968535	WBT00000050	-
V	19969975	19972050	WBT00000051	+
V	20020583	20020674	WBT00000552	+
V	20078546	20079557	WBT00000256	-
V	20152618	20153037	WBT00000377	+
V	20153350	20153915	WBT00000286	+
V	20257699	20259690	WBT00000257	-
V	20290715	20293188	WBT00000217	+
V	20410055	20410184	WBT00000492	-
V	20458189	20458347	WBT00000749	-
V	20510007	20513528	WBT00000096	-
V	20616277	20617516	WBT00000292	+
V	20721507	20721624	WBT00000541	+
V	20724158	20724264	WBT00000524	+
X	53227	54473	WBT00000188	+
X	54764	54916	WBT00000558	+
X	66250	70435	WBT00000047	+
X	125693	127783	WBT00000727	-
X	267029	268757	WBT00000731	+
X	288210	289823	WBT00000090	+
X	337977	338349	WBT00000358	-
X	339291	340372	WBT00000116	+
X	363088	364375	WBT00000115	+
X	456749	456829	WBT00000489	+
X	541635	542349	WBT00000672	+
X	684518	684668	WBT00000527	-
X	685633	685773	WBT00000528	+
X	923110	923267	WBT00000482	-
X	958495	958916	WBT00000367	+
X	1031656	1033613	WBT00000682	-
X	1227008	1228255	WBT00000223	-
X	1242838	1242991	WBT00000466	+
X	1340899	1343537	WBT00000351	+
X	1351363	1354912	WBT00000671	-
X	1562157	1565918	WBT00000686	-
X	1659623	1662891	WBT00000757	-
X	1760739	1761850	WBT00000330	+
X	1762703	1774149	WBT00000728	-
X	1789011	1790088	WBT00000673	-
X	1927701	1928947	WBT00000195	-
X	1946356	1947352	WBT00000252	-
X	1954507	1955503	WBT00000234	-
X	2005792	2008210	WBT00000730	+
X	2009542	2010799	WBT00000255	-
X	2168667	2169465	WBT00000676	-
X	2170574	2171910	WBT00000319	+
X	2310001	2310158	WBT00000518	+
X	2412009	2412157	WBT00000470	+
X	2490088	2490163	WBT00000502	-
X	2607690	2607820	WBT00000519	+
X	2763071	2763222	WBT00000480	-
X	2777059	2777218	WBT00000493	-
X	2810317	2810443	WBT00000463	+
X	2934336	2934780	WBT00000415	-
X	3003609	3003758	WBT00000538	+
X	3128780	3130553	WBT00000059	+
X	3139616	3139763	WBT00000464	-
X	3296902	3297048	WBT00000507	-
X	3307656	3308028	WBT00000373	-
X	3370007	3371251	WBT00000198	-
X	3514441	3515735	WBT00000656	-
X	3735319	3736605	WBT00000440	+
X	3746961	3753488	WBT00000706	-
X	3845939	3848062	WBT00000083	+
X	3871062	3871208	WBT00000571	+
X	3909360	3909823	WBT00000303	-
X	4415716	4415868	WBT00000477	-
X	4428192	4429013	WBT00000285	+
X	4445863	4447471	WBT00000338	-
X	4862660	4863008	WBT00000381	-
X	5222320	5222643	WBT00000437	-
X	5222634	5223920	WBT00000438	-
X	5232167	5233415	WBT00000162	-
X	5284182	5285789	WBT00000089	+
X	5650984	5651432	WBT00000399	-
X	5757132	5758378	WBT00000148	+
X	5779529	5779676	WBT00000471	+
X	6067719	6069306	WBT00000084	+
X	6467704	6468468	WBT00000117	+
X	6486203	6486635	WBT00000362	-
X	6660924	6661275	WBT00000370	-
X	7017237	7018848	WBT00000037	-
X	7068881	7069790	WBT00000650	+
X	7079885	7080807	WBT00000111	+
X	8166333	8168284	WBT00000657	-
X	8314896	8314939	WBT00000515	+
X	8343412	8343710	WBT00000386	-
X	8640052	8640319	WBT00000374	+
X	8766336	8767259	WBT00000110	+
X	8817749	8818048	WBT00000395	+
X	8826956	8827201	WBT00000364	-
X	8876848	8876993	WBT00000359	-
X	8901004	8901927	WBT00000103	+
X	8999679	9001026	WBT00000659	-
X	9196067	9203045	WBT00000667	+
X	9249340	9250837	WBT00000011	+
X	9470448	9471369	WBT00000112	+
X	9521367	9521558	WBT00000360	-
X	9541368	9541520	WBT00000457	+
X	10189678	10189830	WBT00000479	+
X	10217115	10217267	WBT00000487	+
X	10715294	10715580	WBT00000625	+
X	11290748	11294387	WBT00000205	+
X	11311199	11312810	WBT00000042	-
X	11313666	11314646	WBT00000076	+
X	11350408	11350876	WBT00000420	+
X	12312907	12314498	WBT00000445	+
X	12371788	12372666	WBT00000106	-
X	12581626	12581952	WBT00000401	+
X	12996326	12996477	WBT00000474	+
X	13059300	13059416	WBT00000503	-
X	13077921	13078038	WBT00000389	+
X	13087791	13088321	WBT00000622	+
X	13295387	13296646	WBT00000239	-
X	13450646	13451568	WBT00000104	+
X	13489824	13490133	WBT00000602	+
X	13629839	13629960	WBT00000529	+
X	13682920	13684033	WBT00000335	+
X	13698565	13699588	WBT00000582	-
X	13761926	13762276	WBT00000387	-
X	13807506	13808927	WBT00000055	+
X	13831892	13833131	WBT00000287	+
X	13982299	13982961	WBT00000597	-
X	14061435	14062749	WBT00000087	+
X	14091980	14094997	WBT00000313	+
X	14366234	14366351	WBT00000505	+
X	14400396	14400666	WBT00000632	-
X	14456884	14458128	WBT00000309	+
X	14530885	14532081	WBT00000203	+
X	14748292	14748415	WBT00000453	-
X	14874958	14875081	WBT00000481	+
X	15062146	15063744	WBT00000343	+
X	15348695	15349097	WBT00000410	+
X	15366451	15366606	WBT00000467	+
X	15397517	15400802	WBT00000608	+
X	15509114	15509249	WBT00000499	+
X	15625527	15625668	WBT00000508	+
X	15720892	15721027	WBT00000578	+
X	15746364	15746453	WBT00000579	+
X	15746455	15746610	WBT00000580	+
X	15782613	15783861	WBT00000175	-
X	15825246	15826496	WBT00000449	-
X	15831678	15831827	WBT00000497	-
X	15848996	15849148	WBT00000498	-
X	15988667	15988820	WBT00000461	-
X	16037746	16037903	WBT00000452	-
X	16050023	16050162	WBT00000522	+
X	16070937	16071109	WBT00000405	-
