Chromosome	Transposon Position	Transposon	Region	Transcript Name	Gene Name	Biotype	Phenotype	GO Annotation	Number of Strains	Strains
I	2274354	Tc1	promoter	F12B6.1	abt-2	protein_coding	slow growth	GO:0005524,GO:0016887,GO:0042127,GO:0040020,GO:0042127,GO:0040020	1	CB4851
I	2275396	CELE42	intergenic	NA	NA	NA	NA	NA	1	JU642
I	2327638	MARINER2	promoter	Y39G10AR.15	NA	protein_coding	NA	NA	2	CB4856,DL238
I	2327638	MARINER2	promoter	Y39G10AR.22	srbc-64	protein_coding	NA	GO:0004930,GO:0007186,GO:0031513,GO:0040024,GO:1990075	2	CB4856,DL238
I	2332852	HELITRONY3_CE	promoter	Y39G10AR.16	NA	protein_coding	NA	NA	1	QX1211
I	2332852	HELITRONY3_CE	promoter	Y39G10AR.6	ugt-31	protein_coding	NA	GO:0008152,GO:0016758	1	QX1211
I	2348774	Tc1	intron	Y39G10AR.5	zeel-1	protein_coding	NA	NA	1	CB4851
I	2380314	PALTA3_CE	intron	Y39G10AR.17	sydn-1	protein_coding	NA	GO:0016607	1	QX1211
I	2411317	WBT00000600	intergenic	NA	NA	NA	NA	NA	2	JU1581,PX179
I	2427481	HELITRONY3_CE	intergenic	NA	NA	NA	NA	NA	1	JU1530
I	2520298	Tc1	intergenic	NA	NA	NA	NA	NA	1	QX1211
I	2564278	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
I	2576224	MIRAGE1	promoter	C55C2.5	aat-5	protein_coding	NA	GO:0003333,GO:0015171,GO:0016020	1	JU311
I	2581142	Tc1	three_prime_UTR	K07A3.1	fbp-1	protein_coding	embryonic lethal,slow growth,sterile progeny	GO:0005975,GO:0042132,GO:0042578	1	CB4851
I	2699305	Tc1	intron	F32B5.2	NA	protein_coding	NA	NA	1	CB4856
I	2742774	Tc1	promoter	Y71F9B.8	lron-11	protein_coding	NA	GO:0005515	1	CB4851
I	2793763	Tc3	intron	W03D8.8	NA	protein_coding	NA	GO:0006637,GO:0016790,GO:0007413,GO:0016358	34	AB1,CB4852,CB4853,CB4855,CB4857,CB4858,CX11254,CX11271,CX11285,CX11292,ED3040,ED3046,ED3049,ED3052,ED3077,EG4347,EG4724,EG4946,JU1088,JU2007,JU2464,JU2466,JU346,LKC34,MY10,MY1,MY23,NIC3,PB306,PS2025,PX179,QG536,QX1212,QX1233
I	2819329	Tc2	intron	W03D8.11	NA	protein_coding	NA	NA	1	NIC255
I	2933289	CELE42	intron	Y71F9AM.4	cogc-3	protein_coding	sick,larval arrest,embryonic lethal	GO:0005783,GO:0005794,GO:0030334,GO:0035262,GO:0005801,GO:0006886,GO:0016020,GO:0040035,GO:0009792,GO:0009792,GO:0040018,GO:0002119,GO:0040011,GO:0002119,GO:0040011,GO:0040039,GO:0040039,GO:0040039	1	CX11264
I	3041595	HAT1_CE	intron	Y54E10BR.7	mod-5	protein_coding	NA	GO:0005887,GO:0015222,GO:0019915,GO:0051610,GO:0005328,GO:0006836,GO:0016021	13	CB4856,ED3017,ED3073,JU1400,JU1530,JU1580,JU1581,JU310,JU642,JU782,NIC195,PB303,RC301
I	3138399	Tc1	CDS	K09H9.3	col-49	protein_coding	NA	GO:0042302	1	CB4851
I	3326313	Tc1	intron	Y44E3A.4	NA	protein_coding	NA	GO:0005515	1	CB4851
I	3600273	Tc5	intron	Y47G6A.29	NA	protein_coding	NA	GO:0007413,GO:0016358,GO:0043652	29	CB4853,CB4855,CB4858,CX11271,CX11292,CX11307,CX11314,ED3005,ED3011,EG4946,JU1172,JU1580,JU1581,JU1652,JU1896,JU2316,JU2526,JU642,MY16,MY18,NIC195,NIC259,NIC265,PB306,QG2075,QG557,QX1212,QX1233,WN2001
I	3747837	MARINER2	intron	Y8G1A.1	math-46	protein_coding	NA	GO:0019915	1	JU258
I	3785639	Tc5	promoter	C32E8.3	NA	protein_coding	larval arrest,maternal sterile	GO:0002119,GO:0000003	1	JU2001
I	3787236	LINE2G_CE	CDS	C32E8.3	NA	protein_coding	larval arrest,maternal sterile	GO:0002119,GO:0000003	1	QX1211
I	3911151	LTRCER1	intron	T20F5.8	NA	protein_coding	NA	NA	20	JU1213,JU1242,JU1491,JU2001,JU2519,JU2522,JU393,JU397,JU775,JU778,JU782,JU792,NIC242,NIC256,NIC258,NIC260,NIC261,NIC262,NIC269,NIC271
I	4092265	MIRAGE1	intergenic	NA	NA	NA	NA	NA	15	CB4853,CB4855,CB4858,CX11292,CX11307,CX11314,ED3005,ED3011,EG4946,JU1172,MY16,QG2075,QG557,QX1212,QX1233
I	4152314	WBT00000416	promoter	R12E2.6	NA	protein_coding	NA	NA	1	JU258
I	4381961	LINE2C1_CE	promoter	ZK973.1	NA	protein_coding	NA	GO:0003723,GO:0006139,GO:0016788,GO:0003676	2	JU258,NIC251
I	4381961	LINE2C1_CE	promoter	ZK973.11	NA	protein_coding	embryonic lethal	GO:0045454,GO:0009792	2	JU258,NIC251
I	4425544	Tc1	CDS	C11D9.1	tiam-1	protein_coding	NA	GO:0005089,GO:0035023	1	CB4851
I	4438276	Tc4v	intron	C41D11.3	NA	protein_coding	embryonic lethal	GO:0009792	6	JU1896,JU642,MY18,NIC195,WN2001,WN2002
I	4452428	LINE2C1_CE	intron	C41D11.7	eri-7	protein_coding	maternal sterile	GO:0000003	4	CB4856,DL238,JU2007,QX1791
I	4505018	Tc1	intron	T01A4.1	gcy-28	protein_coding	NA	GO:0004383,GO:0006182,GO:0006935,GO:0007606,GO:0042048,GO:0043005,GO:0044297,GO:0009190,GO:0016849,GO:0035556,GO:0016021,GO:0004672,GO:0006468,GO:0016772	1	CB4851
I	4562637	Tc1	CDS	D1007.15	NA	protein_coding	NA	GO:0000166,GO:0046872	1	CB4851
I	4608162	Tc9	intron	C44E4.5	NA	protein_coding	NA	GO:0019915	11	CB4856,ED3040,JU1212,JU1581,JU1896,JU2007,JU258,NIC195,NIC236,QX1791,RC301
I	4702688	MIRAGE1	promoter	W09C3.4	NA	protein_coding	maternal sterile	GO:0003677,GO:0003899,GO:0006351,GO:0000003	7	BRC20067,GXW1,JU1088,JU1400,JU346,JU830,MY1
I	4702688	MIRAGE1	gene	W09C3.9	linc-91	other	NA	NA	7	BRC20067,GXW1,JU1088,JU1400,JU346,JU830,MY1
I	4881305	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
I	4903372	CELE45	promoter	F21F3.2	NA	protein_coding	NA	GO:0004672,GO:0005524,GO:0006468,GO:0016772,GO:0043652	6	JU1212,JU1896,JU2007,NIC195,NIC251,WN2002
I	4914107	Tc2	promoter	F21F3.6	NA	protein_coding	NA	NA	1	JU1246
I	4936436	Tc1	intron	F28B3.4	dip-2	protein_coding	embryonic lethal	GO:0003824,GO:0008152,GO:0005634,GO:0008134,GO:0009792,GO:0009792	1	CB4851
I	4974089	MIRAGE1	intergenic	NA	NA	NA	NA	NA	2	BRC20067,JU1088
I	5019455	Tc1	intron	F54C1.7	pat-10	protein_coding	sterile,maternal sterile,larval lethal,slow growth,embryonic lethal	GO:0005509,GO:0006936,GO:0008307,GO:0009790,GO:0030240,GO:0031013,GO:0043292,GO:0000003,GO:0009792,GO:0002119,GO:0009792,GO:0002119,GO:0040011,GO:0000003,GO:0009792,GO:0000003,GO:0000003,GO:0000003,GO:0000003,GO:0000003,GO:0040011,GO:0006898,GO:0030728,GO:0000003,GO:0000910,GO:0030728,GO:0000003,GO:0000003,GO:0006915	1	CB4851
I	5025794	Tc1	intron	C46H11.4	lfe-2	protein_coding	NA	GO:0008440	1	CB4851
I	5075776	Tc1	gene	C30F8.7	linc-156	other	NA	NA	1	CB4851
I	5079092	MARINER2	gene	C30F8.7	linc-156	other	NA	NA	9	ED3040,JU1581,JU2526,JU258,JU642,MY18,NIC259,NIC265,WN2001
I	5149572	LTRCER1	intergenic	NA	NA	NA	NA	NA	1	NIC199
I	5154751	Tc5	intron	Y110A7A.2	NA	protein_coding	NA	GO:0005515	2	ECA36,QX1211
I	5185173	TIR54TA1_CE	intron	F56A3.2	slx-1	protein_coding	larval arrest,embryonic lethal	GO:0005515,GO:0008270,GO:0009792,GO:0002119	8	CB4858,CX11264,ED3049,JU1200,JU394,MY1,QG536,RC301
I	5288025	LTRCER1	intron	C01G8.5	erm-1	protein_coding	sterile progeny,maternal sterile,slow growth,larval lethal,larval arrest,embryonic lethal	GO:0002009,GO:0002119,GO:0005198,GO:0005938,GO:0007015,GO:0031974,GO:0035148,GO:0045177,GO:0045179,GO:0005737,GO:0008092,GO:0019898,GO:0003779,GO:0002119,GO:0040011,GO:0002119,GO:0002119,GO:0000003,GO:0009792,GO:0040011,GO:0000003,GO:0002119,GO:0010171,GO:0040039,GO:0008340,GO:0006898,GO:0009792,GO:0071688,GO:0006915	1	JU346
I	5461993	MARINCE1	intergenic	NA	NA	NA	NA	NA	1	NIC166
I	5508815	Tc1	intron	F59A3.4	NA	protein_coding	larval arrest,embryonic lethal,maternal sterile	GO:0016020,GO:0030001,GO:0046873,GO:0055085,GO:0009792,GO:0002119,GO:0000003,GO:0002119,GO:0002119,GO:0016246,GO:0006898,GO:0009792,GO:0009792	1	CB4851
I	5570962	Tc1A	promoter	M01E11.4	pqn-52	protein_coding	NA	NA	2	ECA36,QX1211
I	5590421	MIRAGE1	three_prime_UTR	M01E11.7	tag-163	protein_coding	NA	GO:0030054,GO:0031430,GO:0055120,GO:0005515	1	DL238
I	5700386	MARINER2	promoter	T19B4.1	pamn-1	protein_coding	NA	GO:0004497,GO:0005507,GO:0016715,GO:0055114,GO:0004504,GO:0006518,GO:0016020,GO:0005515,GO:0003824	1	JU2007
I	5713298	MIRAGE1	intergenic	NA	NA	NA	NA	NA	1	JU1242
I	5839796	LTRCER1	promoter	F33D11.4	ceh-12	protein_coding	NA	GO:0003677	2	EG4347,PX179
I	5888587	Tc1	intron	C34G6.4	pgp-2	protein_coding	NA	GO:0006996,GO:0019915,GO:0044841,GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0016887,GO:0019915,GO:0019915,GO:0019915,GO:0019915	1	CB4851
I	6092719	Tc1	promoter	ZK484.1	NA	protein_coding	NA	GO:0004857,GO:0008073	1	CB4851
I	6092719	Tc1	gene	ZK484.11	NA	other	NA	NA	1	CB4851
I	6092719	Tc1	promoter	ZK484.6	NA	protein_coding	NA	NA	1	CB4851
I	6125388	Tc1	CDS	T27A3.1	NA	protein_coding	NA	NA	1	CB4851
I	6172364	MARINCE1	intergenic	NA	NA	NA	NA	NA	1	CB4854
I	6250669	Tc1	intron	C48E7.5	cof-2	protein_coding	NA	GO:0005515	1	CB4851
I	6257931	HELITRON1_CE	intergenic	NA	NA	NA	NA	NA	1	NIC3
I	6616223	Tc2	promoter	D2092.4	NA	protein_coding	NA	GO:0030016	1	JU2007
I	6616223	Tc2	promoter	D2092.7	tsp-19	protein_coding	NA	GO:0016021	1	JU2007
I	6670978	Tc1	promoter	ZC581.9	NA	protein_coding	NA	GO:0004672,GO:0005524,GO:0006468,GO:0016772,GO:0005488,GO:0007413	1	CB4851
I	6730842	Tc1	CDS	W02D3.6	ant-1.2	protein_coding	NA	GO:0005739,GO:0055085,GO:0005215,GO:0005743,GO:0006810	1	CB4851
I	6845232	PALNN1_CE	three_prime_UTR	H27M09.5	NA	protein_coding	NA	NA	1	JU1491
I	6845235	CEMUDR1	three_prime_UTR	H27M09.5	NA	protein_coding	NA	NA	1	JU1491
I	6974284	Tc1	promoter	C30F12.4	NA	protein_coding	NA	NA	1	CB4851
I	6974284	Tc1	promoter	C30F12.7	idhg-2	protein_coding	NA	GO:0000287,GO:0016616,GO:0051287,GO:0055114,GO:0004449,GO:0006099	1	CB4851
I	7387358	MIRAGE1	promoter	C15A11.1	col-35	protein_coding	sterile,larval lethal,sick,lethal,larval arrest	GO:0042302,GO:0002119,GO:0010171,GO:0000003,GO:0002119,GO:0040007,GO:0000003,GO:0002119,GO:0040011,GO:0002119,GO:0002119,GO:0040011,GO:0002119,GO:0018991,GO:0040011,GO:0040011,GO:0018991,GO:0040011,GO:0018991,GO:0040011,GO:0040011,GO:0018991,GO:0040011,GO:0040011,GO:0018991,GO:0040011	1	JU258
I	7387358	MIRAGE1	five_prime_UTR	C15A11.2	NA	protein_coding	sterile,larval lethal,sick,lethal,larval arrest	GO:0002119,GO:0010171,GO:0000003,GO:0002119,GO:0040007,GO:0000003,GO:0002119,GO:0040011,GO:0002119,GO:0002119,GO:0040011,GO:0002119,GO:0018991,GO:0040011,GO:0040011,GO:0018991,GO:0040011,GO:0018991,GO:0040011,GO:0040011,GO:0018991,GO:0040011,GO:0040011,GO:0018991,GO:0040011	1	JU258
I	7396125	Tc1	promoter	C15A11.3	sol-1	protein_coding	NA	GO:0001966,GO:0005515,GO:0005886,GO:0006972,GO:0008328,GO:0016247,GO:0032589,GO:0040012,GO:0045202,GO:0051968,GO:0019915	1	CB4851
I	7406668	Tc1	intron	C15A11.7	NA	protein_coding	NA	GO:0016021	1	CB4851
I	7464971	LTRCER1	intron	ZK524.4	NA	protein_coding	NA	GO:0004672,GO:0005524,GO:0006468,GO:0016772	1	NIC275
I	7543021	Tc3	promoter	C26C6.5	dcp-66	protein_coding	sterile progeny,maternal sterile,larval lethal,slow growth,larval arrest,embryonic lethal	GO:0009792,GO:0002119,GO:0002119,GO:0040035,GO:0040026,GO:0040027,GO:0040011,GO:0040027,GO:0000003,GO:0009792,GO:0040011,GO:0000003,GO:0000003,GO:0040035,GO:0006898	2	JU1409,JU642
I	7585332	Tc2	three_prime_UTR	D2030.6	prg-1	protein_coding	embryonic lethal	GO:0000003,GO:0007276,GO:0007283,GO:0010467,GO:0034583,GO:0034585,GO:0042078,GO:0043186,GO:0045840,GO:0051729,GO:0005515,GO:0003676,GO:0008406,GO:0051729,GO:0000003	1	NIC275
I	7812086	Tc1	intergenic	NA	NA	NA	NA	NA	1	CB4851
I	7863393	Tc5	CDS	R11A5.3	NA	protein_coding	NA	NA	1	JU2007
I	7979964	MARINER2	promoter	H05L14.2	NA	protein_coding	NA	GO:0019915	2	ECA36,QX1211
I	7981438	MARINER3	intron	H05L14.2	NA	protein_coding	NA	GO:0019915	1	QX1211
I	8054370	MAR_CE	intron	K04G2.8	apr-1	protein_coding	larval lethal,larval arrest,embryonic lethal	GO:0000003,GO:0001708,GO:0001714,GO:0002119,GO:0005634,GO:0005737,GO:0005912,GO:0005938,GO:0008013,GO:0009792,GO:0016476,GO:0030177,GO:0030178,GO:0030334,GO:0040025,GO:0040027,GO:0043652,GO:0045944,GO:0048598,GO:0005488,GO:0009792,GO:0002119,GO:0040011,GO:0002119,GO:0010171,GO:0040011,GO:0040027,GO:0040027,GO:0040027,GO:0009792,GO:0002119,GO:0002119,GO:0010171,GO:0009792,GO:0002119,GO:0009792,GO:0002119,GO:0009792,GO:0007052,GO:0007052,GO:0007052,GO:0007052,GO:0009792,GO:0009792,GO:0009792,GO:0009792,GO:0009792,GO:0009792,GO:0009792,GO:0009792,GO:0008356,GO:0009792,GO:0008356,GO:0006611,GO:0002119,GO:0010171,GO:0040011,GO:0009792	27	CB4852,CB4853,CB4856,CB4858,CB4932,CX11264,CX11285,DL238,ED3017,ED3040,ED3046,ED3049,EG4946,JU1200,JU1530,JU1580,JU1581,JU782,LSJ1,MY16,MY18,MY1,NIC2,NIC3,QG536,QX1212,RC301
I	8108378	Tc3	intron	C09H6.1	spr-4	protein_coding	NA	NA	1	JU1409
I	8119661	Tc3	promoter	C09H6.2	lin-10	protein_coding	NA	GO:0000138,GO:0005515,GO:0005737,GO:0005886,GO:0007270,GO:0008105,GO:0030140,GO:0030425,GO:0040026,GO:0043005,GO:0043025,GO:0050975,GO:0097120	2	JU1409,JU642
I	8141462	MIRAGE1	intron	T28B8.5	del-4	protein_coding	NA	GO:0005272,GO:0006814,GO:0016020	1	JU1581
I	8147805	Tc1	intron	T28B8.2	ins-18	protein_coding	NA	GO:0043055,GO:0046627,GO:0005179,GO:0005576,GO:0008340,GO:0008340,GO:0008340	1	CB4851
I	8215233	LTRCER1	CDS	T02E1.3	gla-3	protein_coding	embryonic lethal,maternal sterile	GO:0046872,GO:0000003,GO:0009792,GO:0006915,GO:0006915,GO:0006915,GO:0006915,GO:0006915,GO:0006915,GO:0006915,GO:0006915	1	JU1581
I	8215233	LTRCER1	intron	T02E1.5	dhs-3	protein_coding	embryonic lethal,sick	GO:0033555,GO:0008152,GO:0016491,GO:0009792	1	JU1581
I	8230613	MIRAGE1	intron	ZK265.1	kri-1	protein_coding	NA	GO:0005634,GO:0016324,GO:0016327,GO:0005515	2	JU2316,JU2526
I	8252615	LTRCER1	promoter	ZK265.4	ceh-8	protein_coding	NA	GO:0003700,GO:0005634,GO:0007389,GO:0003677	1	JU775
I	8363792	Tc5	CDS	F16D3.2	rsd-6	protein_coding	NA	GO:0005737	1	JU1088
I	8384048	Tc5	promoter	F16D3.7	ser-5	protein_coding	NA	GO:0004930,GO:0007186,GO:0016021	1	WN2002
I	8384048	Tc5	intron	T19A6.1	NA	protein_coding	NA	NA	1	WN2002
I	8391145	MARINER2	intron	T19A6.1	NA	protein_coding	NA	NA	1	JU1581
