CHROM	POS	log10p	Variance Explained	Region Start	Region End	Peak Position	Bonferroni Corrected Threshold	Above Bonferroni
I	221028	0	NA	NA	NA	NA	5.494	0
I	221039	0	NA	NA	NA	NA	5.494	0
I	248956	0.440113	NA	NA	NA	NA	5.494	0
I	262703	0.10478	NA	NA	NA	NA	5.494	0
I	269899	0	NA	NA	NA	NA	5.494	0
I	269900	0	NA	NA	NA	NA	5.494	0
I	271983	0	NA	NA	NA	NA	5.494	0
I	272002	0	NA	NA	NA	NA	5.494	0
I	280420	0.095207	NA	NA	NA	NA	5.494	0
I	282775	0.440113	NA	NA	NA	NA	5.494	0
I	284915	0	NA	NA	NA	NA	5.494	0
I	285005	0	NA	NA	NA	NA	5.494	0
I	292438	0.095207	NA	NA	NA	NA	5.494	0
I	292612	0	NA	NA	NA	NA	5.494	0
I	292643	0	NA	NA	NA	NA	5.494	0
I	298011	0.011482	NA	NA	NA	NA	5.494	0
I	298030	0	NA	NA	NA	NA	5.494	0
I	306553	0	NA	NA	NA	NA	5.494	0
I	329119	0.134146	NA	NA	NA	NA	5.494	0
I	331244	0	NA	NA	NA	NA	5.494	0
I	337311	0	NA	NA	NA	NA	5.494	0
I	350207	0.440113	NA	NA	NA	NA	5.494	0
I	351028	0	NA	NA	NA	NA	5.494	0
I	351043	0.082396	NA	NA	NA	NA	5.494	0
I	351875	0.440113	NA	NA	NA	NA	5.494	0
I	352921	0	NA	NA	NA	NA	5.494	0
I	352954	0	NA	NA	NA	NA	5.494	0
I	353894	0.440113	NA	NA	NA	NA	5.494	0
I	357288	0	NA	NA	NA	NA	5.494	0
I	365620	0	NA	NA	NA	NA	5.494	0
I	373369	0	NA	NA	NA	NA	5.494	0
I	373440	0.10791	NA	NA	NA	NA	5.494	0
I	378590	0	NA	NA	NA	NA	5.494	0
I	378722	0	NA	NA	NA	NA	5.494	0
I	382137	0	NA	NA	NA	NA	5.494	0
I	382181	0	NA	NA	NA	NA	5.494	0
I	382224	0	NA	NA	NA	NA	5.494	0
I	386004	0.032455	NA	NA	NA	NA	5.494	0
I	388924	0.011482	NA	NA	NA	NA	5.494	0
I	388952	0.10791	NA	NA	NA	NA	5.494	0
I	391502	0.10791	NA	NA	NA	NA	5.494	0
I	398834	0	NA	NA	NA	NA	5.494	0
I	403330	0	NA	NA	NA	NA	5.494	0
I	407285	0	NA	NA	NA	NA	5.494	0
I	421230	0.103081	NA	NA	NA	NA	5.494	0
I	422765	0.048227	NA	NA	NA	NA	5.494	0
I	427700	0	NA	NA	NA	NA	5.494	0
I	429525	0.007376	NA	NA	NA	NA	5.494	0
I	429555	0.082396	NA	NA	NA	NA	5.494	0
I	429579	0	NA	NA	NA	NA	5.494	0
I	429807	0	NA	NA	NA	NA	5.494	0
I	434325	0	NA	NA	NA	NA	5.494	0
I	434345	0	NA	NA	NA	NA	5.494	0
I	438305	0	NA	NA	NA	NA	5.494	0
I	439651	0	NA	NA	NA	NA	5.494	0
I	439670	0	NA	NA	NA	NA	5.494	0
I	439693	0	NA	NA	NA	NA	5.494	0
I	439701	0.036677	NA	NA	NA	NA	5.494	0
I	448012	0	NA	NA	NA	NA	5.494	0
I	457404	0	NA	NA	NA	NA	5.494	0
I	461702	0	NA	NA	NA	NA	5.494	0
I	463472	0.092246	NA	NA	NA	NA	5.494	0
I	464592	0	NA	NA	NA	NA	5.494	0
I	475288	0	NA	NA	NA	NA	5.494	0
I	477413	0	NA	NA	NA	NA	5.494	0
I	483235	0	NA	NA	NA	NA	5.494	0
I	483251	0	NA	NA	NA	NA	5.494	0
I	483304	0.153712	NA	NA	NA	NA	5.494	0
I	490060	0	NA	NA	NA	NA	5.494	0
I	490260	0.237604	NA	NA	NA	NA	5.494	0
I	495037	0	NA	NA	NA	NA	5.494	0
I	501530	0.370274	NA	NA	NA	NA	5.494	0
I	507902	0	NA	NA	NA	NA	5.494	0
I	508133	0	NA	NA	NA	NA	5.494	0
I	509342	0	NA	NA	NA	NA	5.494	0
I	513855	0.10946	NA	NA	NA	NA	5.494	0
I	513925	0	NA	NA	NA	NA	5.494	0
I	517673	0.088634	NA	NA	NA	NA	5.494	0
I	517707	0.032972	NA	NA	NA	NA	5.494	0
I	519655	0	NA	NA	NA	NA	5.494	0
I	521789	0	NA	NA	NA	NA	5.494	0
I	521850	0	NA	NA	NA	NA	5.494	0
I	521953	0	NA	NA	NA	NA	5.494	0
I	527327	0.001716	NA	NA	NA	NA	5.494	0
I	529889	0.370274	NA	NA	NA	NA	5.494	0
I	533836	0	NA	NA	NA	NA	5.494	0
I	533861	0.03203	NA	NA	NA	NA	5.494	0
I	534833	0	NA	NA	NA	NA	5.494	0
I	537864	0	NA	NA	NA	NA	5.494	0
I	539194	0.190491	NA	NA	NA	NA	5.494	0
I	539274	0.090986	NA	NA	NA	NA	5.494	0
I	562689	0	NA	NA	NA	NA	5.494	0
I	572141	0	NA	NA	NA	NA	5.494	0
I	573321	0	NA	NA	NA	NA	5.494	0
I	573417	0	NA	NA	NA	NA	5.494	0
I	573433	0	NA	NA	NA	NA	5.494	0
I	573448	0.032483	NA	NA	NA	NA	5.494	0
I	581654	0	NA	NA	NA	NA	5.494	0
I	581800	0.020285	NA	NA	NA	NA	5.494	0
I	588278	0	NA	NA	NA	NA	5.494	0
I	588295	0	NA	NA	NA	NA	5.494	0
I	605662	0	NA	NA	NA	NA	5.494	0
I	605669	0	NA	NA	NA	NA	5.494	0
I	605702	0	NA	NA	NA	NA	5.494	0
I	635948	0	NA	NA	NA	NA	5.494	0
I	636049	0.417768	NA	NA	NA	NA	5.494	0
I	637319	0.07264	NA	NA	NA	NA	5.494	0
I	637337	0	NA	NA	NA	NA	5.494	0
I	637363	0.262453	NA	NA	NA	NA	5.494	0
I	637364	0	NA	NA	NA	NA	5.494	0
I	637474	0.2588	NA	NA	NA	NA	5.494	0
I	656036	0	NA	NA	NA	NA	5.494	0
I	667900	0.370274	NA	NA	NA	NA	5.494	0
I	671797	0.141893	NA	NA	NA	NA	5.494	0
I	671913	0	NA	NA	NA	NA	5.494	0
I	674338	0	NA	NA	NA	NA	5.494	0
I	674366	0.004039	NA	NA	NA	NA	5.494	0
I	674446	0.538751	NA	NA	NA	NA	5.494	0
I	675570	0	NA	NA	NA	NA	5.494	0
I	675613	0.07228	NA	NA	NA	NA	5.494	0
I	683947	0.125918	NA	NA	NA	NA	5.494	0
I	684040	0	NA	NA	NA	NA	5.494	0
I	685624	0	NA	NA	NA	NA	5.494	0
I	685714	0.085991	NA	NA	NA	NA	5.494	0
I	689545	0	NA	NA	NA	NA	5.494	0
I	689569	0	NA	NA	NA	NA	5.494	0
I	689571	0	NA	NA	NA	NA	5.494	0
I	689572	0	NA	NA	NA	NA	5.494	0
I	690544	0	NA	NA	NA	NA	5.494	0
I	690570	0.440113	NA	NA	NA	NA	5.494	0
I	691101	0	NA	NA	NA	NA	5.494	0
I	691123	0.068843	NA	NA	NA	NA	5.494	0
I	691145	0.00566	NA	NA	NA	NA	5.494	0
I	693204	0.098586	NA	NA	NA	NA	5.494	0
I	693217	0.370274	NA	NA	NA	NA	5.494	0
I	693231	0	NA	NA	NA	NA	5.494	0
I	694654	0	NA	NA	NA	NA	5.494	0
I	700049	0.421545	NA	NA	NA	NA	5.494	0
I	700108	0.032483	NA	NA	NA	NA	5.494	0
I	700121	0.272328	NA	NA	NA	NA	5.494	0
I	718075	0	NA	NA	NA	NA	5.494	0
I	718202	0	NA	NA	NA	NA	5.494	0
I	718886	0	NA	NA	NA	NA	5.494	0
I	718930	0.440113	NA	NA	NA	NA	5.494	0
I	719009	0	NA	NA	NA	NA	5.494	0
I	719025	0	NA	NA	NA	NA	5.494	0
I	719074	0	NA	NA	NA	NA	5.494	0
I	725124	0	NA	NA	NA	NA	5.494	0
I	730439	0.128515	NA	NA	NA	NA	5.494	0
I	730572	0	NA	NA	NA	NA	5.494	0
I	730573	0	NA	NA	NA	NA	5.494	0
I	731182	0	NA	NA	NA	NA	5.494	0
I	731190	0	NA	NA	NA	NA	5.494	0
I	731196	0.072327	NA	NA	NA	NA	5.494	0
I	731230	0	NA	NA	NA	NA	5.494	0
I	731236	0	NA	NA	NA	NA	5.494	0
I	731328	0	NA	NA	NA	NA	5.494	0
I	731329	0	NA	NA	NA	NA	5.494	0
I	742896	0	NA	NA	NA	NA	5.494	0
I	751116	0	NA	NA	NA	NA	5.494	0
I	751375	0	NA	NA	NA	NA	5.494	0
I	769110	0	NA	NA	NA	NA	5.494	0
I	769138	0.118589	NA	NA	NA	NA	5.494	0
I	769215	0	NA	NA	NA	NA	5.494	0
I	773215	0	NA	NA	NA	NA	5.494	0
I	773286	0	NA	NA	NA	NA	5.494	0
I	775524	0.11769	NA	NA	NA	NA	5.494	0
I	780018	0	NA	NA	NA	NA	5.494	0
I	786683	0	NA	NA	NA	NA	5.494	0
I	786711	0	NA	NA	NA	NA	5.494	0
I	786818	0	NA	NA	NA	NA	5.494	0
I	787670	0	NA	NA	NA	NA	5.494	0
I	787676	0	NA	NA	NA	NA	5.494	0
I	787677	0	NA	NA	NA	NA	5.494	0
I	787745	0	NA	NA	NA	NA	5.494	0
I	787760	0	NA	NA	NA	NA	5.494	0
I	787785	0	NA	NA	NA	NA	5.494	0
I	788950	0	NA	NA	NA	NA	5.494	0
I	788966	0	NA	NA	NA	NA	5.494	0
I	806660	0	NA	NA	NA	NA	5.494	0
I	806688	0	NA	NA	NA	NA	5.494	0
I	806763	0	NA	NA	NA	NA	5.494	0
I	806790	0	NA	NA	NA	NA	5.494	0
I	809743	0.114096	NA	NA	NA	NA	5.494	0
I	812066	0.134971	NA	NA	NA	NA	5.494	0
I	816989	0.10866	NA	NA	NA	NA	5.494	0
I	817000	0	NA	NA	NA	NA	5.494	0
I	817028	0	NA	NA	NA	NA	5.494	0
I	819332	0	NA	NA	NA	NA	5.494	0
I	823235	0	NA	NA	NA	NA	5.494	0
I	823263	0	NA	NA	NA	NA	5.494	0
I	828443	0	NA	NA	NA	NA	5.494	0
I	837925	0	NA	NA	NA	NA	5.494	0
I	837980	0.394675	NA	NA	NA	NA	5.494	0
I	838042	0	NA	NA	NA	NA	5.494	0
I	847358	0	NA	NA	NA	NA	5.494	0
I	847372	0	NA	NA	NA	NA	5.494	0
I	847487	0	NA	NA	NA	NA	5.494	0
I	864408	0	NA	NA	NA	NA	5.494	0
I	864417	0.164377	NA	NA	NA	NA	5.494	0
I	864427	0.706126	NA	NA	NA	NA	5.494	0
I	864435	0	NA	NA	NA	NA	5.494	0
I	864501	0	NA	NA	NA	NA	5.494	0
I	873750	0.825322	NA	NA	NA	NA	5.494	0
I	884887	0.164377	NA	NA	NA	NA	5.494	0
I	891573	0.581079	NA	NA	NA	NA	5.494	0
I	894996	0.447018	NA	NA	NA	NA	5.494	0
I	900811	0	NA	NA	NA	NA	5.494	0
I	900835	0	NA	NA	NA	NA	5.494	0
I	900852	0.825322	NA	NA	NA	NA	5.494	0
I	904839	0	NA	NA	NA	NA	5.494	0
I	907427	0	NA	NA	NA	NA	5.494	0
I	907467	0	NA	NA	NA	NA	5.494	0
I	909435	0.067639	NA	NA	NA	NA	5.494	0
I	909448	0.394675	NA	NA	NA	NA	5.494	0
I	909790	0	NA	NA	NA	NA	5.494	0
I	909964	0	NA	NA	NA	NA	5.494	0
I	910001	0	NA	NA	NA	NA	5.494	0
I	914692	0.394675	NA	NA	NA	NA	5.494	0
I	919316	0	NA	NA	NA	NA	5.494	0
I	919374	0.790928	NA	NA	NA	NA	5.494	0
I	920336	0	NA	NA	NA	NA	5.494	0
I	920344	0.394675	NA	NA	NA	NA	5.494	0
I	933265	0	NA	NA	NA	NA	5.494	0
I	959091	0	NA	NA	NA	NA	5.494	0
I	959094	0	NA	NA	NA	NA	5.494	0
I	977672	0	NA	NA	NA	NA	5.494	0
I	990428	0	NA	NA	NA	NA	5.494	0
I	990478	0.09754	NA	NA	NA	NA	5.494	0
I	990534	0	NA	NA	NA	NA	5.494	0
I	992166	0	NA	NA	NA	NA	5.494	0
I	992265	0	NA	NA	NA	NA	5.494	0
I	992266	0.511792	NA	NA	NA	NA	5.494	0
I	992267	0.248683	NA	NA	NA	NA	5.494	0
I	992268	0	NA	NA	NA	NA	5.494	0
I	994034	0	NA	NA	NA	NA	5.494	0
I	994084	0.011914	NA	NA	NA	NA	5.494	0
I	994109	0.011914	NA	NA	NA	NA	5.494	0
I	994296	0.248683	NA	NA	NA	NA	5.494	0
I	994446	1.010302	NA	NA	NA	NA	5.494	0
I	994504	0.060493	NA	NA	NA	NA	5.494	0
I	994555	0.002643	NA	NA	NA	NA	5.494	0
I	1003632	0	NA	NA	NA	NA	5.494	0
I	1003648	0.191242	NA	NA	NA	NA	5.494	0
I	1006484	0	NA	NA	NA	NA	5.494	0
I	1006518	0	NA	NA	NA	NA	5.494	0
I	1008050	0	NA	NA	NA	NA	5.494	0
I	1008178	0	NA	NA	NA	NA	5.494	0
I	1009450	0.197258	NA	NA	NA	NA	5.494	0
I	1009457	0.394675	NA	NA	NA	NA	5.494	0
I	1009750	0.197258	NA	NA	NA	NA	5.494	0
I	1009766	0	NA	NA	NA	NA	5.494	0
I	1009862	0.135778	NA	NA	NA	NA	5.494	0
I	1010173	0	NA	NA	NA	NA	5.494	0
I	1015900	1.010302	NA	NA	NA	NA	5.494	0
I	1017980	0	NA	NA	NA	NA	5.494	0
I	1018051	1.116042	NA	NA	NA	NA	5.494	0
I	1018163	0	NA	NA	NA	NA	5.494	0
I	1018712	0	NA	NA	NA	NA	5.494	0
I	1021184	0	NA	NA	NA	NA	5.494	0
I	1021187	0.142121	NA	NA	NA	NA	5.494	0
I	1033159	1.010302	NA	NA	NA	NA	5.494	0
I	1033250	0.696392	NA	NA	NA	NA	5.494	0
I	1038135	0	NA	NA	NA	NA	5.494	0
I	1038141	0	NA	NA	NA	NA	5.494	0
I	1038403	0	NA	NA	NA	NA	5.494	0
I	1038436	0.265194	NA	NA	NA	NA	5.494	0
I	1038867	0	NA	NA	NA	NA	5.494	0
I	1039142	0	NA	NA	NA	NA	5.494	0
I	1039813	0	NA	NA	NA	NA	5.494	0
I	1041227	0	NA	NA	NA	NA	5.494	0
I	1041272	0.018394	NA	NA	NA	NA	5.494	0
I	1041353	0	NA	NA	NA	NA	5.494	0
I	1043403	0	NA	NA	NA	NA	5.494	0
I	1043406	0	NA	NA	NA	NA	5.494	0
I	1047891	0	NA	NA	NA	NA	5.494	0
I	1048584	0	NA	NA	NA	NA	5.494	0
I	1048593	0	NA	NA	NA	NA	5.494	0
I	1052867	0	NA	NA	NA	NA	5.494	0
I	1058900	0.055128	NA	NA	NA	NA	5.494	0
I	1058933	0	NA	NA	NA	NA	5.494	0
I	1063929	0	NA	NA	NA	NA	5.494	0
I	1066368	0.024014	NA	NA	NA	NA	5.494	0
I	1072898	0	NA	NA	NA	NA	5.494	0
I	1073789	1.956487	NA	NA	NA	NA	5.494	0
I	1073798	0.381287	NA	NA	NA	NA	5.494	0
I	1073820	0	NA	NA	NA	NA	5.494	0
I	1081807	0	NA	NA	NA	NA	5.494	0
I	1085024	0	NA	NA	NA	NA	5.494	0
I	1085329	0	NA	NA	NA	NA	5.494	0
I	1085362	0	NA	NA	NA	NA	5.494	0
I	1085388	0	NA	NA	NA	NA	5.494	0
I	1085428	0	NA	NA	NA	NA	5.494	0
I	1089611	0	NA	NA	NA	NA	5.494	0
I	1089616	0.399351	NA	NA	NA	NA	5.494	0
I	1090137	0	NA	NA	NA	NA	5.494	0
I	1092421	0.068894	NA	NA	NA	NA	5.494	0
I	1092478	0.068894	NA	NA	NA	NA	5.494	0
I	1110163	0.147694	NA	NA	NA	NA	5.494	0
I	1110502	0.368236	NA	NA	NA	NA	5.494	0
I	1113664	1.987234	NA	NA	NA	NA	5.494	0
I	1115118	0	NA	NA	NA	NA	5.494	0
I	1126608	0	NA	NA	NA	NA	5.494	0
I	1128364	0.320975	NA	NA	NA	NA	5.494	0
I	1139235	0	NA	NA	NA	NA	5.494	0
I	1139949	1.028906	NA	NA	NA	NA	5.494	0
I	1140126	0.285851	NA	NA	NA	NA	5.494	0
I	1142129	0.959156	NA	NA	NA	NA	5.494	0
I	1157503	0	NA	NA	NA	NA	5.494	0
I	1166197	1.049783	NA	NA	NA	NA	5.494	0
I	1166270	0	NA	NA	NA	NA	5.494	0
I	1166275	0	NA	NA	NA	NA	5.494	0
I	1167455	0	NA	NA	NA	NA	5.494	0
I	1167466	0	NA	NA	NA	NA	5.494	0
I	1169002	0.142761	NA	NA	NA	NA	5.494	0
I	1169009	0.485737	NA	NA	NA	NA	5.494	0
I	1169040	0.747857	NA	NA	NA	NA	5.494	0
I	1170951	1.054018	NA	NA	NA	NA	5.494	0
I	1183342	0.303824	NA	NA	NA	NA	5.494	0
I	1185865	0.227418	NA	NA	NA	NA	5.494	0
I	1185874	0	NA	NA	NA	NA	5.494	0
I	1186474	0	NA	NA	NA	NA	5.494	0
I	1186521	0	NA	NA	NA	NA	5.494	0
I	1200801	0	NA	NA	NA	NA	5.494	0
I	1200802	0.809688	NA	NA	NA	NA	5.494	0
I	1233659	0.402357	NA	NA	NA	NA	5.494	0
I	1233745	0.189806	NA	NA	NA	NA	5.494	0
I	1241261	0	NA	NA	NA	NA	5.494	0
I	1241262	0	NA	NA	NA	NA	5.494	0
I	1242967	0.174553	NA	NA	NA	NA	5.494	0
I	1249280	0.147046	NA	NA	NA	NA	5.494	0
I	1253383	0	NA	NA	NA	NA	5.494	0
I	1253450	0	NA	NA	NA	NA	5.494	0
I	1254508	0	NA	NA	NA	NA	5.494	0
I	1254594	0	NA	NA	NA	NA	5.494	0
I	1256484	0.088389	NA	NA	NA	NA	5.494	0
I	1268184	0	NA	NA	NA	NA	5.494	0
I	1269245	0.327402	NA	NA	NA	NA	5.494	0
I	1269253	0.073289	NA	NA	NA	NA	5.494	0
I	1269787	0.174553	NA	NA	NA	NA	5.494	0
I	1269893	0.25031	NA	NA	NA	NA	5.494	0
I	1269897	0	NA	NA	NA	NA	5.494	0
I	1272419	0	NA	NA	NA	NA	5.494	0
I	1272453	0	NA	NA	NA	NA	5.494	0
I	1272589	0.528328	NA	NA	NA	NA	5.494	0
I	1272590	0.528328	NA	NA	NA	NA	5.494	0
I	1279055	0.085481	NA	NA	NA	NA	5.494	0
I	1279075	0	NA	NA	NA	NA	5.494	0
I	1287298	0.085418	NA	NA	NA	NA	5.494	0
I	1287871	0.073289	NA	NA	NA	NA	5.494	0
I	1287916	0.25031	NA	NA	NA	NA	5.494	0
I	1287939	0	NA	NA	NA	NA	5.494	0
I	1290530	0	NA	NA	NA	NA	5.494	0
I	1296794	0	NA	NA	NA	NA	5.494	0
I	1306538	0	NA	NA	NA	NA	5.494	0
I	1306634	0	NA	NA	NA	NA	5.494	0
I	1310304	0.441011	NA	NA	NA	NA	5.494	0
I	1310305	0.441011	NA	NA	NA	NA	5.494	0
I	1310314	0.441011	NA	NA	NA	NA	5.494	0
I	1315904	0	NA	NA	NA	NA	5.494	0
I	1315968	0	NA	NA	NA	NA	5.494	0
I	1316058	0	NA	NA	NA	NA	5.494	0
I	1319360	0	NA	NA	NA	NA	5.494	0
I	1327938	0	NA	NA	NA	NA	5.494	0
I	1327944	0	NA	NA	NA	NA	5.494	0
I	1328881	0	NA	NA	NA	NA	5.494	0
I	1328919	0.316097	NA	NA	NA	NA	5.494	0
I	1332171	0	NA	NA	NA	NA	5.494	0
I	1332198	0	NA	NA	NA	NA	5.494	0
I	1332201	0	NA	NA	NA	NA	5.494	0
I	1334210	0	NA	NA	NA	NA	5.494	0
I	1337284	0	NA	NA	NA	NA	5.494	0
I	1341604	0.243702	NA	NA	NA	NA	5.494	0
I	1344447	0.144706	NA	NA	NA	NA	5.494	0
I	1344494	0	NA	NA	NA	NA	5.494	0
I	1367189	0.702904	NA	NA	NA	NA	5.494	0
I	1367752	0	NA	NA	NA	NA	5.494	0
I	1394330	0	NA	NA	NA	NA	5.494	0
I	1394331	0	NA	NA	NA	NA	5.494	0
I	1394345	0.059243	NA	NA	NA	NA	5.494	0
I	1394373	0.059243	NA	NA	NA	NA	5.494	0
I	1399112	0.002028	NA	NA	NA	NA	5.494	0
I	1403868	0	NA	NA	NA	NA	5.494	0
I	1403894	0.436667	NA	NA	NA	NA	5.494	0
I	1405907	0.434828	NA	NA	NA	NA	5.494	0
I	1405923	0.062624	NA	NA	NA	NA	5.494	0
I	1405924	0.303611	NA	NA	NA	NA	5.494	0
I	1406010	0	NA	NA	NA	NA	5.494	0
I	1406011	0	NA	NA	NA	NA	5.494	0
I	1415166	0	NA	NA	NA	NA	5.494	0
I	1415229	0	NA	NA	NA	NA	5.494	0
I	1415277	0.258678	NA	NA	NA	NA	5.494	0
I	1416788	0	NA	NA	NA	NA	5.494	0
I	1416901	0	NA	NA	NA	NA	5.494	0
I	1416933	0	NA	NA	NA	NA	5.494	0
I	1416934	0	NA	NA	NA	NA	5.494	0
I	1416955	0	NA	NA	NA	NA	5.494	0
I	1431770	0	NA	NA	NA	NA	5.494	0
I	1431794	0.071859	NA	NA	NA	NA	5.494	0
I	1431900	0	NA	NA	NA	NA	5.494	0
I	1433427	0	NA	NA	NA	NA	5.494	0
I	1437632	0.111614	NA	NA	NA	NA	5.494	0
I	1441043	0	NA	NA	NA	NA	5.494	0
I	1441067	0	NA	NA	NA	NA	5.494	0
I	1457187	0.26095	NA	NA	NA	NA	5.494	0
I	1457264	0.158355	NA	NA	NA	NA	5.494	0
I	1457285	0	NA	NA	NA	NA	5.494	0
I	1457302	0	NA	NA	NA	NA	5.494	0
I	1460888	0.322031	NA	NA	NA	NA	5.494	0
I	1464542	0	NA	NA	NA	NA	5.494	0
I	1466320	0	NA	NA	NA	NA	5.494	0
I	1466324	0.55825	NA	NA	NA	NA	5.494	0
I	1466431	0.322031	NA	NA	NA	NA	5.494	0
I	1466440	0	NA	NA	NA	NA	5.494	0
I	1466443	0.22274	NA	NA	NA	NA	5.494	0
I	1466449	0.22274	NA	NA	NA	NA	5.494	0
I	1466491	0.22274	NA	NA	NA	NA	5.494	0
I	1467348	0	NA	NA	NA	NA	5.494	0
I	1467444	0.159024	NA	NA	NA	NA	5.494	0
I	1467813	0.071146	NA	NA	NA	NA	5.494	0
I	1467868	0	NA	NA	NA	NA	5.494	0
I	1468045	0	NA	NA	NA	NA	5.494	0
I	1476551	0.56289	NA	NA	NA	NA	5.494	0
I	1476561	0	NA	NA	NA	NA	5.494	0
I	1476590	0.56289	NA	NA	NA	NA	5.494	0
I	1482299	0.013015	NA	NA	NA	NA	5.494	0
I	1482396	0	NA	NA	NA	NA	5.494	0
I	1482408	0.56289	NA	NA	NA	NA	5.494	0
I	1482427	0.56289	NA	NA	NA	NA	5.494	0
I	1485124	0	NA	NA	NA	NA	5.494	0
I	1485226	0	NA	NA	NA	NA	5.494	0
I	1490248	0	NA	NA	NA	NA	5.494	0
I	1490257	0	NA	NA	NA	NA	5.494	0
I	1490415	0	NA	NA	NA	NA	5.494	0
I	1499398	0	NA	NA	NA	NA	5.494	0
I	1499478	0.228051	NA	NA	NA	NA	5.494	0
I	1503997	0.316672	NA	NA	NA	NA	5.494	0
I	1504008	0.318758	NA	NA	NA	NA	5.494	0
I	1504082	0.25572	NA	NA	NA	NA	5.494	0
I	1504084	0.006052	NA	NA	NA	NA	5.494	0
I	1504151	0	NA	NA	NA	NA	5.494	0
I	1507497	0	NA	NA	NA	NA	5.494	0
I	1507509	0	NA	NA	NA	NA	5.494	0
I	1509041	0	NA	NA	NA	NA	5.494	0
I	1509042	0.709424	NA	NA	NA	NA	5.494	0
I	1517085	0	NA	NA	NA	NA	5.494	0
I	1520196	0	NA	NA	NA	NA	5.494	0
I	1520217	1.012747	NA	NA	NA	NA	5.494	0
I	1523499	1.198705	NA	NA	NA	NA	5.494	0
I	1523727	0	NA	NA	NA	NA	5.494	0
I	1526126	0	NA	NA	NA	NA	5.494	0
I	1526127	0.268005	NA	NA	NA	NA	5.494	0
I	1528894	0	NA	NA	NA	NA	5.494	0
I	1528901	0.310986	NA	NA	NA	NA	5.494	0
