Wormbase ID	Sequence Name	Gene Name	Protein Coding Variation	rho with telomere length	Maximally correlated variant
WBGene00012329	W07G1.2	sre-44	TRUE		
WBGene00014549	W07G1.8		FALSE		
WBGene00012330	W07G1.3	zip-3	TRUE		
WBGene00012332	W07G1.5		TRUE		
WBGene00195976	W07G1.11		FALSE		
WBGene00202303	W07G1.22		FALSE		
WBGene00198995	W07G1.13		FALSE		
WBGene00197734	W07G1.12		FALSE		
WBGene00201067	W07G1.20		FALSE		
WBGene00199826	W07G1.15		FALSE		
WBGene00200682	W07G1.18		FALSE		
WBGene00201738	W07G1.21		FALSE		
WBGene00012334	W07G1.7		TRUE		
WBGene00012333	W07G1.6	sre-43	TRUE		
WBGene00012722	Y39G8B.1		TRUE		
WBGene00012723	Y39G8B.2		TRUE		
WBGene00201696	Y39G8B.12		FALSE		
WBGene00012724	Y39G8B.3	sre-48	TRUE		
WBGene00012728	Y39G8B.9		TRUE		
WBGene00012729	Y39G8B.10		TRUE		
WBGene00012725	Y39G8B.4	sre-47	TRUE		
WBGene00012726	Y39G8B.5		TRUE		
WBGene00196926	Y39G8B.11		FALSE		
WBGene00014885	Y39G8B.8		FALSE		
WBGene00012727	Y39G8B.7		TRUE		
WBGene00008501	F01D5.11		FALSE		
WBGene00008492	F01D5.1		TRUE		
WBGene00008493	F01D5.2		TRUE		
WBGene00008494	F01D5.3		TRUE		
WBGene00014730	F01D5.4		FALSE		
WBGene00008495	F01D5.5		TRUE		
WBGene00008496	F01D5.6		TRUE		
WBGene00197910	F01D5.13		FALSE		
WBGene00008497	F01D5.7		TRUE		
WBGene00008498	F01D5.8		TRUE		
WBGene00008499	F01D5.9	cyp-37A1	TRUE		
WBGene00008500	F01D5.10		TRUE		
WBGene00198462	F01D5.14		FALSE		
WBGene00045139	F01D5.12		FALSE		
WBGene00014851	W01G7.2		FALSE		
WBGene00200564	W01G7.6		FALSE		
WBGene00000901	W01G7.1	daf-5	TRUE	0.42457085148279	II:14035732
WBGene00012187	W01G7.3		FALSE		
WBGene00012188	W01G7.4		TRUE		
WBGene00002275	W01G7.5	lem-2	TRUE		
WBGene00012730	Y39G8C.1	xrn-1	TRUE		
WBGene00202210	Y39G8C.13		FALSE		
WBGene00199357	Y39G8C.9		FALSE		
WBGene00201888	Y39G8C.12		FALSE		
WBGene00199901	Y39G8C.10		FALSE		
WBGene00198911	Y39G8C.8		FALSE		
WBGene00201029	Y39G8C.11		FALSE		
WBGene00196328	Y39G8C.6		FALSE		
WBGene00196896	Y39G8C.7		FALSE		
WBGene00000662	Y39G8C.4	col-87	TRUE		
WBGene00012731	Y39G8C.2		TRUE		
WBGene00196067	Y39G8C.5		FALSE		
WBGene00014569	Y39G8C.3	bkip-1	TRUE		
WBGene00001805	K09E4.5	gur-4	TRUE		
WBGene00010723	K09E4.6	cpg-7	TRUE		
WBGene00010722	K09E4.4		TRUE		
WBGene00010721	K09E4.3		TRUE		
WBGene00010720	K09E4.2		TRUE	0.426498532980048	II:14128119
WBGene00012230	W03H9.4	cacn-1	TRUE		
WBGene00010719	K09E4.1		TRUE		
WBGene00012228	W03H9.2		TRUE		
WBGene00012227	W03H9.1		TRUE	0.50626459228794	II:14148294
WBGene00012978	Y48B6A.1		TRUE		
WBGene00004456	Y48B6A.2		FALSE		
WBGene00006964	Y48B6A.3	xrn-2	TRUE		
WBGene00220169	Y48B6A.25		FALSE		
WBGene00001133	Y48B6A.4	eat-2	TRUE		
WBGene00012979	Y48B6A.5		TRUE		
WBGene00012980	Y48B6A.6	efhd-1	TRUE		
WBGene00197867	Y48B6A.19		FALSE		
WBGene00000038	Y48B6A.7	ace-4	TRUE	0.426498532980048	II:14199310
WBGene00000037	Y48B6A.8	ace-3	TRUE		
WBGene00200220	Y48B6A.22		FALSE		
WBGene00199444	Y48B6A.20		FALSE		
WBGene00001992	Y48B6A.9	hot-7	TRUE		
WBGene00012981	Y48B6A.10		TRUE	0.441766182931114	II:14215470
WBGene00194884	Y48B6A.17		FALSE		
WBGene00050948	Y48B6A.16		TRUE		
WBGene00219620	Y48B6A.24		FALSE		
WBGene00012984	Y48B6A.13		TRUE		
WBGene00012983	Y48B6A.12	men-1	TRUE		
WBGene00012982	Y48B6A.11	jmjd-2	TRUE		
WBGene00201670	Y48B6A.23		FALSE		
WBGene00200061	Y48B6A.21		FALSE		
WBGene00197231	Y48B6A.18		FALSE		
WBGene00001971	Y48B6A.14		FALSE		
WBGene00013213	Y54G11A.2		TRUE		
WBGene00235256	Y54G11A.19		TRUE	0.441766182931114	II:14256782
WBGene00013212	Y54G11A.1		TRUE		
WBGene00013214	Y54G11A.3		TRUE		
WBGene00200258	Y54G11A.18		FALSE		
WBGene00005264	Y54G11A.12	srh-41	TRUE		
WBGene00005265	Y54G11A.15	srh-42	TRUE	0.446185605857202	II:14288884
WBGene00005266	Y54G11A.16		FALSE		
WBGene00013215	Y54G11A.4		TRUE	0.432433971034894	II:14295590
WBGene00013216	Y54G11A.7		TRUE		
WBGene00000831	Y54G11A.5	ctl-2	TRUE		
WBGene00000830	Y54G11A.6		FALSE		
WBGene00013220	Y54G11A.13		FALSE		
WBGene00013221	Y54G11A.14		TRUE	0.443807626448641	II:14319964
WBGene00013217	Y54G11A.8	ddl-3	TRUE		
WBGene00013218	Y54G11A.9		FALSE		
WBGene00002996	Y54G11A.10	lin-7	TRUE		
WBGene00185067	Y54G11A.17		TRUE	0.423698341907502	II:14349246
WBGene00013219	Y54G11A.11		FALSE		
WBGene00011050	R06A4.8	agl-1	TRUE		
WBGene00011051	R06A4.9	pfs-2	TRUE		
WBGene00011047	R06A4.2		TRUE	0.423698341907502	II:14362924
WBGene00002076	R06A4.4	imb-2	TRUE		
WBGene00000059	R06A4.10		FALSE		
WBGene00011049	R06A4.6	sdz-26	TRUE		
WBGene00003220	R06A4.7	mes-2	TRUE		
WBGene00195149	F26H11.8		TRUE		
WBGene00009179	F26H11.1	kbp-3	TRUE		
WBGene00009180	F26H11.2	nurf-1	TRUE		
WBGene00195007	F26H11.7		FALSE		
WBGene00009182	F26H11.4		TRUE	0.423698341907502	II:14410198
WBGene00197866	F26H11.10		FALSE		
WBGene00197433	F26H11.9		FALSE		
WBGene00194892	F26H11.6	dsb-2	TRUE		
WBGene00001371	F26H11.5	exl-1	TRUE		
WBGene00004048	K04B12.1	plx-2	TRUE		
WBGene00195871	K04B12.5		FALSE		
WBGene00196159	K04B12.6		FALSE		
WBGene00201079	K04B12.7		FALSE		
WBGene00010550	K04B12.2		TRUE		
WBGene00202306	K04B12.8		FALSE		
WBGene00010551	K04B12.3	smg-8	TRUE		
WBGene00170998	K04B12.4		FALSE		
WBGene00013222	Y54G11B.1	dmsr-6	TRUE	0.423698341907502	II:14462821
WBGene00003327	C13B4.3		FALSE		
WBGene00198974	C13B4.6		FALSE		
WBGene00007545	C13B4.1		TRUE	0.423698341907502	II:14472111
WBGene00197886	C13B4.5		FALSE		
WBGene00013948	C13B4.t1		FALSE		
WBGene00171718	C13B4.4		FALSE		
WBGene00006856	C13B4.2	usp-14	TRUE		
WBGene00010758	K10H10.1	vnut-1	TRUE		
WBGene00010759	K10H10.2	cysl-2	TRUE		
WBGene00199674	K10H10.14		FALSE		
WBGene00044968	K10H10.11		FALSE		
WBGene00000972	K10H10.3	dhs-8	TRUE		
WBGene00010760	K10H10.4		TRUE		
WBGene00235255	K10H10.15		FALSE		
WBGene00010761	K10H10.5		TRUE		
WBGene00010762	K10H10.6		TRUE		
WBGene00045403	K10H10.12		TRUE		
WBGene00010763	K10H10.7		TRUE	0.470825865995677	II:14507291
WBGene00010765	K10H10.10		TRUE		
WBGene00194888	K10H10.13		TRUE	0.423698341907502	II:14510883
WBGene00010764	K10H10.9		TRUE		
WBGene00010194	F57C2.2	btb-19	TRUE	0.423698341907502	II:14521928
WBGene00010193	F57C2.1	btb-20	TRUE	0.499047791861708	II:14522867
WBGene00010195	F57C2.3	pot-2	TRUE	0.423698341907502	II:14524396
WBGene00010196	F57C2.4		TRUE		
WBGene00010197	F57C2.5		TRUE		
WBGene00010198	F57C2.6	spat-1	TRUE		
WBGene00007312	C04H5.1		TRUE	0.499047791861708	II:14535038
WBGene00007313	C04H5.2	clec-147	TRUE		
WBGene00007315	C04H5.7		TRUE	0.499047791861708	II:14538233
WBGene00044054	C04H5.9		FALSE		
WBGene00007314	C04H5.3	gcy-29	TRUE	0.499047791861708	II:14541233
WBGene00007316	C04H5.8	nlp-41	TRUE		
WBGene00003392	C04H5.6	mog-4	TRUE		
WBGene00200406	C04H5.10		FALSE		
WBGene00044053	C01G12.12		FALSE		
WBGene00201201	C01G12.14		FALSE		
WBGene00007242	C01G12.1	madf-5	TRUE		
WBGene00201977	C01G12.15		FALSE		
WBGene00044333	C01G12.13		TRUE		
WBGene00007243	C01G12.2	nspb-7	TRUE		
WBGene00007249	C01G12.9		TRUE		
WBGene00007250	C01G12.10	nspb-8	TRUE		
WBGene00007251	C01G12.11	nspb-9	TRUE		
WBGene00007244	C01G12.3		TRUE		
WBGene00006939	C01G12.4		FALSE		
WBGene00007245	C01G12.5		TRUE		
WBGene00007246	C01G12.6	nspb-10	TRUE		
WBGene00007247	C01G12.7		TRUE		
WBGene00007248	C01G12.8	catp-4	TRUE		
WBGene00006603	F19H8.1	tps-2	TRUE		
WBGene00008963	F19H8.2		TRUE		
WBGene00219907	F19H8.7		FALSE		
WBGene00000188	F19H8.3	arl-3	TRUE		
WBGene00008964	F19H8.4	mltn-9	TRUE	0.423698341907502	II:14617721
WBGene00014738	F19H8.t1		FALSE		
WBGene00045377	F19H8.6		FALSE		
WBGene00008965	F19H8.5	mltn-10	TRUE		
WBGene00007999	C38C6.6	tag-297	TRUE		
WBGene00007998	C38C6.5		TRUE		
WBGene00007996	C38C6.3		TRUE		
WBGene00007997	C38C6.4	sre-13	TRUE		
WBGene00195972	C38C6.9		FALSE		
WBGene00014283	C38C6.t1		FALSE		
WBGene00045388	C38C6.8		FALSE		
WBGene00000225	C38C6.2	atgp-2	TRUE		
WBGene00045161	C38C6.7		FALSE		
WBGene00006787	ZC101.2	unc-52	TRUE	0.423698341907502	II:14656989
WBGene00013851	ZC101.1		TRUE		
WBGene00013852	ZC101.3	hhat-1	TRUE		
WBGene00010491	K02B7.3		FALSE		
WBGene00007478	C09F9.1		FALSE		
WBGene00007479	C09F9.2		TRUE		
WBGene00045322	C09F9.7		FALSE		
WBGene00007481	C09F9.4		FALSE		
WBGene00007480	C09F9.3		FALSE		
WBGene00195525	C09F9.8		FALSE		
WBGene00013187	Y54E2A.1	npr-34	TRUE		
WBGene00013188	Y54E2A.2	smg-9	TRUE		
WBGene00006381	Y54E2A.3	tac-1	TRUE		
WBGene00013189	Y54E2A.4		TRUE	0.423698341907502	II:14755210
WBGene00013190	Y54E2A.5		TRUE		
WBGene00013192	Y54E2A.7		TRUE		
WBGene00013193	Y54E2A.8		TRUE		
WBGene00013194	Y54E2A.9		TRUE		
WBGene00168125	Y54E2A.14		FALSE		
WBGene00044171	Y54E2A.13		FALSE		
WBGene00013195	Y54E2A.10		TRUE		
WBGene00001225	Y54E2A.11	eif-3.B	TRUE		
WBGene00013196	Y54E2A.12	tbc-20	TRUE		
WBGene00012180	W01D2.3		TRUE		
WBGene00045372	W01D2.8		FALSE		
WBGene00045123	W01D2.7		FALSE		
WBGene00220108	W01D2.9		FALSE		
WBGene00012181	W01D2.4	srt-11	TRUE		
WBGene00012183	W01D2.6		FALSE		
WBGene00012182	W01D2.5	osta-3	TRUE		
WBGene00012179	W01D2.1		FALSE		
WBGene00003651	W01D2.2	nhr-61	TRUE		
WBGene00000399	R05H10.6	cdh-7	TRUE		
WBGene00011042	R05H10.1		TRUE		
WBGene00011046	R05H10.7		TRUE		
WBGene00011043	R05H10.2	rbm-28	TRUE		
WBGene00011045	R05H10.5	gpx-2	TRUE		
WBGene00011044	R05H10.3		TRUE		
WBGene00013148	Y53F4A.2		TRUE		
WBGene00201681	Y53F4A.5		FALSE		
WBGene00197049	Y53F4A.4		FALSE		
WBGene00199127	R03C1.5		FALSE		
WBGene00000584	R03C1.3	cog-1	TRUE		
WBGene00201367	R03C1.6		FALSE		
WBGene00010987	R03C1.1		TRUE		
WBGene00008443	E01F3.1	pde-3	TRUE		
WBGene00202428	E01F3.3		FALSE		
WBGene00003366	E01F3.2		FALSE		
WBGene00013149	Y53F4B.1		TRUE		
WBGene00195980	Y53F4B.53		FALSE		
WBGene00198545	Y53F4B.57		FALSE		
WBGene00001247	Y53F4B.2		FALSE		
WBGene00013150	Y53F4B.3		TRUE		
WBGene00013151	Y53F4B.4	nsun-5	TRUE		
WBGene00044720	Y53F4B.42		TRUE		
WBGene00013152	Y53F4B.5		TRUE		
WBGene00044056	Y53F4B.40		TRUE		
WBGene00168108	Y53F4B.49		FALSE		
WBGene00013153	Y53F4B.6		FALSE		
WBGene00044726	Y53F4B.43		FALSE		
WBGene00013154	Y53F4B.7		FALSE		
WBGene00013155	Y53F4B.8		FALSE		
WBGene00044727	Y53F4B.44		FALSE		
WBGene00013157	Y53F4B.10		TRUE		
WBGene00013156	Y53F4B.9		TRUE		
WBGene00013158	Y53F4B.11		TRUE		
WBGene00194905	Y53F4B.51		TRUE		
WBGene00013159	Y53F4B.12		TRUE	0.428850569031569	II:15022676
WBGene00045141	Y53F4B.47		FALSE		
WBGene00013160	Y53F4B.13		TRUE		
WBGene00199102	Y53F4B.59		FALSE		
WBGene00013161	Y53F4B.14		FALSE		
WBGene00000208	Y53F4B.15	asc-1	TRUE		
WBGene00044728	Y53F4B.45		FALSE		
WBGene00013162	Y53F4B.16		TRUE		
WBGene00013163	Y53F4B.17		TRUE		
WBGene00013164	Y53F4B.18		TRUE		
WBGene00013165	Y53F4B.19		TRUE		
WBGene00013166	Y53F4B.20		TRUE		
WBGene00200115	Y53F4B.60		FALSE		
WBGene00200873	Y53F4B.61		FALSE		
WBGene00013167	Y53F4B.21		TRUE	0.428850569031569	II:15097566
WBGene00195949	Y53F4B.52		FALSE		
WBGene00013176	Y53F4B.39		TRUE		
WBGene00044729	Y53F4B.46		FALSE		
WBGene00014920	Y53F4B.38		FALSE		
WBGene00197022	Y53F4B.54		FALSE		
WBGene00013168	Y53F4B.22		FALSE		
WBGene00013169	Y53F4B.23		TRUE		
WBGene00219492	Y53F4B.63		FALSE		
WBGene00219491	Y53F4B.62		TRUE		
WBGene00013170	Y53F4B.24		TRUE		
WBGene00013171	Y53F4B.25		TRUE		
WBGene00197545	Y53F4B.55		FALSE		
WBGene00013172	Y53F4B.26		FALSE		
WBGene00197612	Y53F4B.56		FALSE		
WBGene00013173	Y53F4B.27		TRUE		
WBGene00171949	Y53F4B.50		FALSE		
WBGene00004234	Y53F4B.28	ptr-20	TRUE		
WBGene00001774	Y53F4B.29		FALSE		
WBGene00001775	Y53F4B.30	gst-27	TRUE		
WBGene00199045	Y53F4B.58		FALSE		
WBGene00045142	Y53F4B.48		FALSE		
WBGene00001776	Y53F4B.31	gst-28	TRUE		
WBGene00001777	Y53F4B.32	gst-29	TRUE		
WBGene00001787	Y53F4B.33	gst-39	TRUE		
WBGene00001779	Y53F4B.35	gst-31	TRUE		
WBGene00013175	Y53F4B.36		TRUE	0.404889932533128	II:15176758
WBGene00001780	Y53F4B.37	gst-32	TRUE		
WBGene00001782	Y1H11.1	gst-34	TRUE		
WBGene00001783	Y1H11.2	gst-35	TRUE		
WBGene00021598	Y46E12BR.1		TRUE		
WBGene00201885	Y46E12BR.2		FALSE		
WBGene00021597	Y46E12BL.4	spsb-1	TRUE		
WBGene00220162	Y46E12BM.1		FALSE		
WBGene00220161	Y46E12BL.11		FALSE		
WBGene00021596	Y46E12BL.3	spsb-2	TRUE		
WBGene00021595	Y46E12BL.2		TRUE		
WBGene00021594	Y46E12BL.1	tig-3	TRUE		
WBGene00198729	Y46E12BL.6		FALSE		
WBGene00195908	Y46E12BL.5		FALSE		
WBGene00198987	Y46E12BL.7		FALSE		
WBGene00199773	Y46E12BL.8		FALSE		
WBGene00219753	Y46E12BL.10		FALSE		
WBGene00201093	Y46E12BL.9		FALSE		
WBGene00201913	2RSSE.8		FALSE		
WBGene00195865	2RSSE.4		FALSE		
WBGene00007064	2RSSE.1		TRUE		
WBGene00199694	2RSSE.6		FALSE		
