chromosome	clone	start	end	strain
I	WRMHS19B16	950501	994466	CB4856
I	WRMHS30K24	956799	991686	CB4856
I	WRMHS22I13	968031	1000005	CB4856
I	WRMHS9J24	979410	1016888	CB4856
I	WRMHS21P05	1073302	1110902	CB4856
I	WRMHS21M10	1266196	1294388	CB4856
I	WRMHS8P18	1282911	1308287	CB4856
I	WRMHS16P15	1448780	1482563	CB4856
I	WRMHS27A16	1793390	1818110	CB4856
I	WRMHS25N04	1800105	1822721	CB4856
I	WRMHS25G11	1800615	1818841	CB4856
I	WRMHS32C24	1843936	1876327	CB4856
I	WRMHS31K24	1848018	1887278	CB4856
I	WRMHS33O06	2015849	2045695	CB4856
I	WRMHS29F06	2205965	2246646	CB4856
I	WRMHS1G24	2229836	2265450	CB4856
I	WRMHS29D12	2233008	2268496	CB4856
I	WRMHS31I06	2244066	2276418	CB4856
I	WRMHS15J09	2249253	2277087	CB4856
I	WRMHS2B20	2260383	2294958	CB4856
I	WRMHS18I13	2314546	2359324	CB4856
I	WRMHS1J23	2413592	2445455	CB4856
I	WRMHS12D06	2420725	2451121	CB4856
I	WRMHS20L09	2504562	2542613	CB4856
I	WRMHS8M07	2543567	2565528	CB4856
I	WRMHS1F03	2583933	2620697	CB4856
I	WRMHS37I06	2597112	2633104	CB4856
I	WRMHS7L13	2609392	2636661	CB4856
I	WRMHS36F19	2609857	2649763	CB4856
I	WRMHS27E20	2611246	2649554	CB4856
I	WRMHS2L22	2614942	2649304	CB4856
I	WRMHS17M19	2633782	2668193	CB4856
I	WRMHS39G24	2637505	2673264	CB4856
I	WRMHS39K19	2646558	2677476	CB4856
I	WRMHS13C15	2650486	2682418	CB4856
I	WRMHS32N05	2660058	2695445	CB4856
I	WRMHS12F11	2667712	2700426	CB4856
I	WRMHS23L21	2677431	2716015	CB4856
I	WRMHS22L07	2677484	2710681	CB4856
I	WRMHS23H14	2677960	2714258	CB4856
I	WRMHS38O18	2741947	2771632	CB4856
I	WRMHS33N16	2783859	2822795	CB4856
I	WRMHS32M19	2787461	2824673	CB4856
I	WRMHS30K13	2787631	2820404	CB4856
I	WRMHS22D24	2788325	2824980	CB4856
I	WRMHS31K17	2793888	2831304	CB4856
I	WRMHS14N21	2795774	2833289	CB4856
I	WRMHS33P24	2799661	2833429	CB4856
I	WRMHS33M07	2810148	2841580	CB4856
I	WRMHS31L11	2839140	2864570	CB4856
I	WRMHS39K04	2850666	2881368	CB4856
I	WRMHS37O24	2853692	2885015	CB4856
I	WRMHS22F06	3084819	3120959	CB4856
I	WRMHS34O23	3107536	3142900	CB4856
I	WRMHS34G13	3118971	3159587	CB4856
I	WRMHS13H04	3123720	3157011	CB4856
I	WRMHS34K10	3248154	3286395	CB4856
I	WRMHS15K13	3248929	3289034	CB4856
I	WRMHS17J07	3263079	3299789	CB4856
I	WRMHS22N18	3268240	3303930	CB4856
I	WRMHS37O15	3271229	3308398	CB4856
I	WRMHS32I18	3274740	3312553	CB4856
I	WRMHS10P20	3278268	3309507	CB4856
I	WRMHS8P08	3285701	3319357	CB4856
I	WRMHS18M20	3285876	3321498	CB4856
I	WRMHS14A22	3299596	3330764	CB4856
I	WRMHS5J14	3307160	3333624	CB4856
I	WRMHS23F09	3378451	3406765	CB4856
I	WRMHS14L13	3386115	3428888	CB4856
I	WRMHS36D09	3393607	3430562	CB4856
I	WRMHS14F17	3405880	3437078	CB4856
I	WRMHS8H15	3599933	3638721	CB4856
I	WRMHS33G23	3608073	3639220	CB4856
I	WRMHS14L20	3620364	3659386	CB4856
I	WRMHS11D02	3624529	3659394	CB4856
I	WRMHS4M10	3629961	3665733	CB4856
I	WRMHS25J13	3653851	3683053	CB4856
I	WRMHS21J21	3656001	3682088	CB4856
I	WRMHS18A17	3681925	3719043	CB4856
I	WRMHS17G09	3686882	3722980	CB4856
I	WRMHS6J18	3688906	3724036	CB4856
I	WRMHS12P14	3691232	3727503	CB4856
I	WRMHS3D11	3696115	3733158	CB4856
I	WRMHS19F03	3699105	3735559	CB4856
I	WRMHS5P02	3703186	3744553	CB4856
I	WRMHS6D16	3714850	3747814	CB4856
I	WRMHS18O02	3715251	3750193	CB4856
I	WRMHS12H20	3723357	3755426	CB4856
I	WRMHS25F20	3743108	3764282	CB4856
I	WRMHS23I05	3764138	3790585	CB4856
I	WRMHS6L01	3765786	3798201	CB4856
I	WRMHS15N06	3765962	3795309	CB4856
I	WRMHS10D09	3771526	3803763	CB4856
I	WRMHS23F21	3773810	3811260	CB4856
I	WRMHS39H24	3785207	3818530	CB4856
I	WRMHS21K12	3786222	3818008	CB4856
I	WRMHS36B19	3788741	3827282	CB4856
I	WRMHS37N22	3793636	3835995	CB4856
I	WRMHS38B09	3797029	3831735	CB4856
I	WRMHS7E22	3797609	3828791	CB4856
I	WRMHS17H14	3806215	3841590	CB4856
I	WRMHS3F18	3813991	3845591	CB4856
I	WRMHS13D01	3823271	3856882	CB4856
I	WRMHS35L24	3829131	3867356	CB4856
I	WRMHS4N13	3832789	3862395	CB4856
I	WRMHS35I03	3842421	3879982	CB4856
I	WRMHS2M12	3844267	3873713	CB4856
I	WRMHS30A23	3853845	3882114	CB4856
I	WRMHS7N20	3858710	3897324	CB4856
I	WRMHS16N02	3862846	3891983	CB4856
I	WRMHS15I22	3866328	3909411	CB4856
I	WRMHS7E12	3866896	3897636	CB4856
I	WRMHS10F20	3874375	3907794	CB4856
I	WRMHS25M20	3891330	3926256	CB4856
I	WRMHS13L20	3893545	3930285	CB4856
I	WRMHS33E17	3903427	3940462	CB4856
I	WRMHS8P10	3905771	3941273	CB4856
I	WRMHS13M18	3911036	3950559	CB4856
I	WRMHS13E12	3914282	3947423	CB4856
I	WRMHS37J15	3917611	3952562	CB4856
I	WRMHS34B02	3919346	3962183	CB4856
I	WRMHS12J22	3920855	3956083	CB4856
I	WRMHS28M01	3926947	3955204	CB4856
I	WRMHS2P08	3930408	3967481	CB4856
I	WRMHS33L18	3931373	3969056	CB4856
I	WRMHS38F24	3936003	3976177	CB4856
I	WRMHS38O15	3999478	4028717	CB4856
I	WRMHS22C18	4000545	4039187	CB4856
I	WRMHS35O06	4013864	4045315	CB4856
I	WRMHS17A20	4015906	4046213	CB4856
I	WRMHS31K10	4016033	4052539	CB4856
I	WRMHS11A24	4017191	4045279	CB4856
I	WRMHS40F24	4018394	4050713	CB4856
I	WRMHS16L21	4018979	4059214	CB4856
I	WRMHS14D03	4027582	4062332	CB4856
I	WRMHS6G17	4032286	4072284	CB4856
I	WRMHS16N10	4043472	4077798	CB4856
I	WRMHS3I11	4048601	4083189	CB4856
I	WRMHS34M13	4050600	4079998	CB4856
I	WRMHS19F22	4053942	4094665	CB4856
I	WRMHS40C09	4053992	4086683	CB4856
I	WRMHS27P23	4058775	4098135	CB4856
I	WRMHS23C18	4060601	4098878	CB4856
I	WRMHS13H19	4062798	4095039	CB4856
I	WRMHS4K24	4064110	4097058	CB4856
I	WRMHS38F06	4064407	4099886	CB4856
I	WRMHS16F19	4071366	4101899	CB4856
I	WRMHS1E24	4079258	4114856	CB4856
I	WRMHS38M22	4082841	4123439	CB4856
I	WRMHS40E05	4087225	4124408	CB4856
I	WRMHS32K02	4095506	4122143	CB4856
I	WRMHS5E09	4102775	4140307	CB4856
I	WRMHS15P04	4121693	4163358	CB4856
I	WRMHS33H23	4136412	4166267	CB4856
I	WRMHS38C18	4137089	4171393	CB4856
I	WRMHS14O08	4141116	4180716	CB4856
I	WRMHS39P16	4142484	4176324	CB4856
I	WRMHS31J13	4151229	4185031	CB4856
I	WRMHS18N23	4152743	4183202	CB4856
I	WRMHS23D06	4165243	4199207	CB4856
I	WRMHS16A11	4165918	4202012	CB4856
I	WRMHS6F16	4166631	4199013	CB4856
I	WRMHS4K07	4172863	4207924	CB4856
I	WRMHS12M19	4196942	4227168	CB4856
I	WRMHS14H11	4204815	4239749	CB4856
I	WRMHS32E04	4209913	4246195	CB4856
I	WRMHS22E17	4220191	4250993	CB4856
I	WRMHS16C08	4222028	4261785	CB4856
I	WRMHS33G15	4235789	4271979	CB4856
I	WRMHS2K20	4235915	4267191	CB4856
I	WRMHS13A03	4239749	4274385	CB4856
I	WRMHS11I02	4241954	4279360	CB4856
I	WRMHS37E06	4244015	4281224	CB4856
I	WRMHS39H17	4244015	4280772	CB4856
I	WRMHS11C18	4245254	4275243	CB4856
I	WRMHS26D09	4246795	4281541	CB4856
I	WRMHS24O08	4309062	4341352	CB4856
I	WRMHS32I14	4313190	4343819	CB4856
I	WRMHS1J06	4313336	4342822	CB4856
I	WRMHS7L05	4314913	4342127	CB4856
I	WRMHS8G07	4317663	4343761	CB4856
I	WRMHS12H13	4318713	4341893	CB4856
I	WRMHS18N06	4322875	4343419	CB4856
I	WRMHS21M05	4324924	4341685	CB4856
I	WRMHS9K14	4325100	4343972	CB4856
I	WRMHS35L16	4327298	4343686	CB4856
I	WRMHS13J19	4337868	4358314	CB4856
I	WRMHS27H24	4341703	4372042	CB4856
I	WRMHS20D05	4342185	4379101	CB4856
I	WRMHS26P14	4342321	4386276	CB4856
I	WRMHS3L03	4343197	4359426	CB4856
I	WRMHS3O19	4343230	4373360	CB4856
I	WRMHS26P09	4343336	4364582	CB4856
I	WRMHS29C01	4343388	4369343	CB4856
I	WRMHS32C14	4343459	4377274	CB4856
I	WRMHS23M06	4343748	4374733	CB4856
I	WRMHS27H10	4356822	4385421	CB4856
I	WRMHS10H15	4359907	4397747	CB4856
I	WRMHS31B20	4360078	4394772	CB4856
I	WRMHS11D10	4362503	4398912	CB4856
I	WRMHS40P14	4369878	4396692	CB4856
I	WRMHS38J13	4373210	4415160	CB4856
I	WRMHS4C23	4375188	4409003	CB4856
I	WRMHS22O08	4381404	4414072	CB4856
I	WRMHS24F14	4406906	4436497	CB4856
I	WRMHS21D21	4409251	4444632	CB4856
I	WRMHS8P19	4411410	4437206	CB4856
I	WRMHS3I15	4411744	4448574	CB4856
I	WRMHS8M15	4412288	4448728	CB4856
I	WRMHS32O11	4421724	4454526	CB4856
I	WRMHS15C11	4426255	4455095	CB4856
I	WRMHS32I21	4439371	4466944	CB4856
I	WRMHS9B23	4467118	4500390	CB4856
I	WRMHS10M03	4480823	4505825	CB4856
I	WRMHS28N18	4483717	4518617	CB4856
I	WRMHS16G08	4489286	4523715	CB4856
I	WRMHS33L04	4536914	4555950	CB4856
I	WRMHS24K10	4548875	4583697	CB4856
I	WRMHS25L11	4566349	4600670	CB4856
I	WRMHS40H24	4569560	4606352	CB4856
I	WRMHS22K14	4572312	4604573	CB4856
I	WRMHS34B11	4573890	4607024	CB4856
I	WRMHS10D17	4599119	4635897	CB4856
I	WRMHS32L17	4613280	4646488	CB4856
I	WRMHS20O22	4616225	4655764	CB4856
I	WRMHS25M10	4632462	4664552	CB4856
I	WRMHS31G24	4641087	4674887	CB4856
I	WRMHS20I15	4645236	4683362	CB4856
I	WRMHS37E09	4651687	4685482	CB4856
I	WRMHS20G01	4691178	4717948	CB4856
I	WRMHS34L09	4696807	4723949	CB4856
I	WRMHS14G23	4698145	4733105	CB4856
I	WRMHS35C24	4715038	4750619	CB4856
I	WRMHS28H23	4759561	4790803	CB4856
I	WRMHS16B09	4765222	4794664	CB4856
I	WRMHS33M08	4771828	4807004	CB4856
I	WRMHS2H02	4776480	4812207	CB4856
I	WRMHS5A05	4786723	4816177	CB4856
I	WRMHS27G10	4801433	4838752	CB4856
I	WRMHS8D02	4801682	4836000	CB4856
I	WRMHS8F21	4806194	4837500	CB4856
I	WRMHS10J23	4808085	4842509	CB4856
I	WRMHS12D10	4820005	4854941	CB4856
I	WRMHS7O06	4820886	4854994	CB4856
I	WRMHS27H08	4823118	4858836	CB4856
I	WRMHS5P24	4828348	4861509	CB4856
I	WRMHS15O05	4832592	4869087	CB4856
I	WRMHS24N05	4836158	4867198	CB4856
I	WRMHS4G04	4842474	4874534	CB4856
I	WRMHS6P19	4850383	4887200	CB4856
I	WRMHS34O08	4872640	4912642	CB4856
I	WRMHS20J23	4873427	4905114	CB4856
I	WRMHS2P10	4875201	4907700	CB4856
I	WRMHS4B07	4882385	4913741	CB4856
I	WRMHS1I24	4883139	4918166	CB4856
I	WRMHS32P06	4883180	4917814	CB4856
I	WRMHS24L08	4890093	4930766	CB4856
I	WRMHS33J06	4892694	4933597	CB4856
I	WRMHS7N10	4894923	4932530	CB4856
I	WRMHS14F23	4904534	4939193	CB4856
I	WRMHS10C17	4908696	4938987	CB4856
I	WRMHS38D18	4925955	4954558	CB4856
I	WRMHS20M06	4927183	4961267	CB4856
I	WRMHS5A16	4935143	4970663	CB4856
I	WRMHS2K10	4935668	4972425	CB4856
I	WRMHS15J04	4936507	4968016	CB4856
I	WRMHS33C20	4937347	4971520	CB4856
I	WRMHS21O24	4947945	4988401	CB4856
I	WRMHS37J11	4950313	4990131	CB4856
I	WRMHS25H14	4952398	4989974	CB4856
I	WRMHS28J12	4965773	5001965	CB4856
I	WRMHS22J17	4972785	5008701	CB4856
I	WRMHS14F19	4980587	5016446	CB4856
I	WRMHS19B18	4981702	5021816	CB4856
I	WRMHS40H20	4981776	5013025	CB4856
I	WRMHS2N21	4985062	5021731	CB4856
I	WRMHS37E17	4986166	5023939	CB4856
I	WRMHS19I09	4994492	5033855	CB4856
I	WRMHS40C21	5002777	5039163	CB4856
I	WRMHS12B05	5010410	5048614	CB4856
I	WRMHS18G19	5018299	5048351	CB4856
I	WRMHS24P22	5021721	5056793	CB4856
I	WRMHS15B07	5026161	5060593	CB4856
I	WRMHS10I06	5031799	5062596	CB4856
I	WRMHS7M13	5034309	5073211	CB4856
I	WRMHS18J01	5039547	5075759	CB4856
I	WRMHS16M11	5070310	5107027	CB4856
I	WRMHS34B19	5071450	5111891	CB4856
I	WRMHS40M04	5077543	5113260	CB4856
I	WRMHS21I24	5079955	5107264	CB4856
I	WRMHS26L03	5081133	5115390	CB4856
I	WRMHS21M20	5085951	5124114	CB4856
I	WRMHS2P05	5088111	5126963	CB4856
I	WRMHS21C08	5093176	5128006	CB4856
I	WRMHS23P13	5099950	5137475	CB4856
I	WRMHS37N23	5105295	5147344	CB4856
I	WRMHS15C09	5114769	5144489	CB4856
I	WRMHS3A15	5122154	5151133	CB4856
I	WRMHS17L05	5155427	5193880	CB4856
I	WRMHS16A01	5159695	5192771	CB4856
I	WRMHS34D24	5160341	5191657	CB4856
I	WRMHS30O21	5160910	5191081	CB4856
I	WRMHS15A15	5161093	5197673	CB4856
I	WRMHS19L10	5162240	5198737	CB4856
I	WRMHS35B09	5165913	5196330	CB4856
I	WRMHS4C13	5167294	5198217	CB4856
I	WRMHS32H12	5171529	5212876	CB4856
I	WRMHS7C17	5188024	5217153	CB4856
I	WRMHS3H14	5188816	5220816	CB4856
I	WRMHS14O03	5191730	5226524	CB4856
I	WRMHS11J10	5197634	5232085	CB4856
I	WRMHS39N07	5204581	5244878	CB4856
I	WRMHS20N03	5213451	5247106	CB4856
I	WRMHS14K02	5215365	5249310	CB4856
I	WRMHS15M21	5215548	5240928	CB4856
I	WRMHS11E12	5238906	5273339	CB4856
I	WRMHS27B14	5240485	5267939	CB4856
I	WRMHS34A19	5241259	5278517	CB4856
I	WRMHS26L23	5241685	5274748	CB4856
I	WRMHS32O07	5244709	5281516	CB4856
I	WRMHS5P09	5248394	5283598	CB4856
I	WRMHS16B21	5261485	5293176	CB4856
I	WRMHS15D12	5269572	5314413	CB4856
I	WRMHS21B10	5270190	5311597	CB4856
I	WRMHS23H04	5276785	5310588	CB4856
I	WRMHS20N01	5278292	5317723	CB4856
I	WRMHS6B03	5279391	5310738	CB4856
I	WRMHS39A08	5280730	5317389	CB4856
I	WRMHS32M02	5290187	5328667	CB4856
I	WRMHS6K22	5295893	5331118	CB4856
I	WRMHS13H24	5305189	5338323	CB4856
I	WRMHS27K15	5330795	5371643	CB4856
I	WRMHS14K13	5346978	5385556	CB4856
I	WRMHS38H17	5348333	5384925	CB4856
I	WRMHS35A19	5351980	5386696	CB4856
I	WRMHS16H17	5375574	5413721	CB4856
I	WRMHS33A06	5404083	5441500	CB4856
I	WRMHS21D18	5411011	5446714	CB4856
I	WRMHS37J18	5413684	5450364	CB4856
I	WRMHS36P08	5427720	5462678	CB4856
I	WRMHS21M14	5428689	5461374	CB4856
I	WRMHS13P12	5428707	5459051	CB4856
I	WRMHS25K05	5434697	5473397	CB4856
I	WRMHS1C17	5439562	5475159	CB4856
I	WRMHS31J14	5442773	5478340	CB4856
I	WRMHS18M06	5448496	5481734	CB4856
I	WRMHS39H06	5456349	5490941	CB4856
I	WRMHS9P20	5470805	5503866	CB4856
I	WRMHS32E12	5477757	5517283	CB4856
I	WRMHS38E10	5480631	5520581	CB4856
I	WRMHS20I16	5483201	5514382	CB4856
I	WRMHS39D13	5486984	5523631	CB4856
I	WRMHS37J20	5507293	5540025	CB4856
I	WRMHS6O24	5522002	5553693	CB4856
I	WRMHS38O04	5528589	5562613	CB4856
I	WRMHS37E18	5531896	5566098	CB4856
I	WRMHS37B01	5538050	5577915	CB4856
I	WRMHS7B18	5546868	5581332	CB4856
I	WRMHS20M20	5557339	5593747	CB4856
I	WRMHS31K20	5558356	5592464	CB4856
I	WRMHS32G24	5562199	5599307	CB4856
I	WRMHS27F19	5568492	5601235	CB4856
I	WRMHS12M22	5599337	5632320	CB4856
I	WRMHS15H01	5605152	5640501	CB4856
I	WRMHS37L01	5608667	5644458	CB4856
I	WRMHS3E08	5609219	5644885	CB4856
I	WRMHS36N21	5610086	5643591	CB4856
I	WRMHS11D11	5617011	5651674	CB4856
I	WRMHS5N12	5619064	5653282	CB4856
I	WRMHS17A11	5624629	5658513	CB4856
I	WRMHS34N18	5627851	5670843	CB4856
I	WRMHS27G16	5628332	5662027	CB4856
I	WRMHS7J17	5639071	5673827	CB4856
I	WRMHS13P16	5641022	5686235	CB4856
I	WRMHS32J16	5642703	5681063	CB4856
I	WRMHS11D21	5646848	5688998	CB4856
I	WRMHS13M19	5648692	5683511	CB4856
I	WRMHS15O10	5649012	5686949	CB4856
I	WRMHS11A08	5651153	5682638	CB4856
I	WRMHS8L01	5652078	5686693	CB4856
I	WRMHS31E17	5657811	5696693	CB4856
I	WRMHS16M10	5681684	5711418	CB4856
I	WRMHS9G13	5687001	5717783	CB4856
I	WRMHS23D22	5706278	5743644	CB4856
I	WRMHS14M09	5713397	5748233	CB4856
I	WRMHS9D03	5716880	5752394	CB4856
I	WRMHS3J19	5718018	5745642	CB4856
I	WRMHS17O21	5718170	5756306	CB4856
I	WRMHS26D18	5724535	5753080	CB4856
I	WRMHS12P07	5738905	5771229	CB4856
I	WRMHS19G06	5743898	5776300	CB4856
I	WRMHS9F17	5757471	5789960	CB4856
I	WRMHS31H14	5758341	5802071	CB4856
I	WRMHS16C21	5766584	5806208	CB4856
I	WRMHS18O08	5775315	5808707	CB4856
I	WRMHS35B20	5776506	5808450	CB4856
I	WRMHS37G16	5777518	5814318	CB4856
I	WRMHS33K15	5780489	5824209	CB4856
I	WRMHS8F08	5781279	5815277	CB4856
I	WRMHS38G02	5788698	5827631	CB4856
I	WRMHS38G12	5788698	5827631	CB4856
I	WRMHS4L05	5797681	5833142	CB4856
I	WRMHS7K21	5841408	5873630	CB4856
I	WRMHS24C19	5854673	5895113	CB4856
I	WRMHS16I21	5860493	5903909	CB4856
I	WRMHS39A16	5870169	5905436	CB4856
I	WRMHS25J24	5886109	5914834	CB4856
I	WRMHS1P01	5889122	5928266	CB4856
I	WRMHS24N15	5899116	5930570	CB4856
I	WRMHS39L22	5903376	5933882	CB4856
I	WRMHS26O05	5915621	5950739	CB4856
I	WRMHS9J06	5917580	5948755	CB4856
I	WRMHS38C12	5919593	5954979	CB4856
I	WRMHS27H14	5926265	5965199	CB4856
I	WRMHS2C10	5926707	5960523	CB4856
I	WRMHS15G12	5930101	5970605	CB4856
I	WRMHS1G11	5936700	5967549	CB4856
I	WRMHS18H05	5957017	5987360	CB4856
I	WRMHS39N01	5967167	6008913	CB4856
I	WRMHS39E20	5968303	6005695	CB4856
I	WRMHS40H23	5978394	6012814	CB4856
I	WRMHS33H05	5985836	6014502	CB4856
I	WRMHS34E16	5995283	6036363	CB4856
I	WRMHS32G09	6000978	6034889	CB4856
I	WRMHS8G03	6005320	6042078	CB4856
I	WRMHS39C16	6029200	6065439	CB4856
I	WRMHS4E22	6031183	6062604	CB4856
I	WRMHS38I21	6050617	6085598	CB4856
I	WRMHS35J02	6053431	6092123	CB4856
I	WRMHS29G15	6058627	6096731	CB4856
I	WRMHS31P02	6060959	6097023	CB4856
I	WRMHS7D16	6062864	6095302	CB4856
I	WRMHS34N11	6069086	6102895	CB4856
I	WRMHS4M14	6072356	6106529	CB4856
I	WRMHS1I23	6082139	6119748	CB4856
I	WRMHS37B02	6083998	6115881	CB4856
I	WRMHS17C04	6086580	6128751	CB4856
I	WRMHS24L20	6090076	6122443	CB4856
I	WRMHS3G20	6096111	6131375	CB4856
I	WRMHS9D09	6125456	6161437	CB4856
I	WRMHS13P05	6131031	6165294	CB4856
I	WRMHS37C12	6136316	6171261	CB4856
I	WRMHS15A08	6147957	6186139	CB4856
I	WRMHS29I03	6155139	6192032	CB4856
I	WRMHS5C18	6159609	6194917	CB4856
I	WRMHS34B10	6161874	6205778	CB4856
I	WRMHS21E23	6169803	6212369	CB4856
I	WRMHS37M23	6180047	6220593	CB4856
I	WRMHS35H09	6185430	6218113	CB4856
I	WRMHS17P19	6187232	6228401	CB4856
I	WRMHS22M18	6187859	6224565	CB4856
I	WRMHS16N20	6193785	6227109	CB4856
I	WRMHS31K01	6198786	6231922	CB4856
I	WRMHS21N06	6212721	6246225	CB4856
I	WRMHS25F15	6215679	6249402	CB4856
I	WRMHS36K01	6218216	6250438	CB4856
I	WRMHS25H18	6227669	6265295	CB4856
I	WRMHS35O20	6229453	6264228	CB4856
I	WRMHS24H17	6241834	6281530	CB4856
I	WRMHS1F09	6246988	6276355	CB4856
I	WRMHS32L06	6250506	6292697	CB4856
I	WRMHS4O24	6254998	6289114	CB4856
I	WRMHS38C19	6255218	6291165	CB4856
I	WRMHS15P16	6276880	6315499	CB4856
I	WRMHS13G08	6287206	6328411	CB4856
I	WRMHS11J15	6292093	6326973	CB4856
I	WRMHS9F21	6292282	6326928	CB4856
I	WRMHS32I17	6302711	6343181	CB4856
I	WRMHS36O08	6306606	6348612	CB4856
I	WRMHS26P15	6309865	6344653	CB4856
I	WRMHS6M04	6313412	6346998	CB4856
I	WRMHS11K18	6322481	6357143	CB4856
I	WRMHS37D01	6327863	6364676	CB4856
I	WRMHS10F14	6349029	6383042	CB4856
I	WRMHS6B13	6349880	6379362	CB4856
I	WRMHS32A15	6359845	6392437	CB4856
I	WRMHS22M01	6366353	6407839	CB4856
I	WRMHS9H18	6377714	6405934	CB4856
I	WRMHS16F24	6389012	6420496	CB4856
I	WRMHS5N03	6391583	6431192	CB4856
I	WRMHS33J04	6402431	6441068	CB4856
I	WRMHS34D04	6428305	6462332	CB4856
I	WRMHS40D10	6431262	6465592	CB4856
I	WRMHS10E19	6451979	6485266	CB4856
I	WRMHS26M05	6453362	6489415	CB4856
I	WRMHS9M13	6460127	6491776	CB4856
I	WRMHS1J19	6463742	6494239	CB4856
I	WRMHS8I18	6466288	6504896	CB4856
I	WRMHS39L15	6469210	6502749	CB4856
I	WRMHS4G12	6472995	6505986	CB4856
I	WRMHS26A08	6476759	6518254	CB4856
I	WRMHS2L12	6493573	6524382	CB4856
I	WRMHS21C13	6494340	6532506	CB4856
I	WRMHS35O01	6512913	6546507	CB4856
I	WRMHS14L24	6513692	6545842	CB4856
I	WRMHS24O01	6516360	6548491	CB4856
I	WRMHS18O10	6516520	6547615	CB4856
I	WRMHS11F11	6519329	6547657	CB4856
I	WRMHS36H17	6523484	6556744	CB4856
I	WRMHS32L10	6528555	6561520	CB4856
I	WRMHS6P23	6531892	6568610	CB4856
I	WRMHS10H08	6537562	6570037	CB4856
I	WRMHS1D04	6545127	6578249	CB4856
I	WRMHS36J12	6548899	6589285	CB4856
I	WRMHS34F11	6557062	6592547	CB4856
I	WRMHS35D11	6559844	6599604	CB4856
I	WRMHS22E04	6579810	6611624	CB4856
I	WRMHS40I10	6584299	6615573	CB4856
I	WRMHS8F06	6596875	6622954	CB4856
I	WRMHS38F13	6603831	6636425	CB4856
I	WRMHS30M06	6604850	6648695	CB4856
I	WRMHS33K09	6608526	6647379	CB4856
I	WRMHS7M10	6636416	6662021	CB4856
I	WRMHS39P08	6637797	6679842	CB4856
I	WRMHS34L19	6642158	6682442	CB4856
I	WRMHS20O18	6647564	6683383	CB4856
I	WRMHS1N16	6651614	6684386	CB4856
I	WRMHS22H24	6657163	6700225	CB4856
I	WRMHS9B05	6669614	6709285	CB4856
I	WRMHS39B10	6688038	6726095	CB4856
I	WRMHS13P23	6695731	6730201	CB4856
I	WRMHS40B19	6705106	6738076	CB4856
I	WRMHS24B07	6713063	6745681	CB4856
I	WRMHS3O14	6748196	6782158	CB4856
I	WRMHS33G06	6751886	6776480	CB4856
I	WRMHS17K16	6754807	6788175	CB4856
I	WRMHS9B18	6755566	6782821	CB4856
I	WRMHS39B06	6761757	6787862	CB4856
I	WRMHS11N01	6771958	6799914	CB4856
I	WRMHS26A15	6772895	6804322	CB4856
I	WRMHS36P21	6795880	6825517	CB4856
I	WRMHS10C09	6800602	6833937	CB4856
I	WRMHS35J03	6801216	6839325	CB4856
I	WRMHS34P04	6809152	6846476	CB4856
I	WRMHS15K21	6811743	6845406	CB4856
I	WRMHS27O05	6813397	6849344	CB4856
I	WRMHS3J09	6820281	6853184	CB4856
I	WRMHS17J03	6842631	6884919	CB4856
I	WRMHS33J20	6844740	6884081	CB4856
