Chromosome	Clone	Start	End
I	WRM0637cD02	5620033	5657347
I	WRM068dC08	5624637	5658139
I	WRM0625dF06	5625021	5652866
I	WRM0629aA02	5631778	5663327
I	WRM0627cF02	5638815	5668996
I	WRM0620bB04	5644361	5680948
I	WRM0628cC02	5647054	5680045
I	WRM0617bB09	5648598	5685264
I	WRM0611dA09	5652433	5685380
I	WRM0624aF06	5660362	5694942
I	WRM067cA10	5661587	5696924
I	WRM062aC08	5663218	5696484
I	WRM0610bD08	5669475	5712334
I	WRM0633dA05	5678614	5718500
I	WRM0625cH05	5690357	5733077
I	WRM0631bE03	5690740	5736046
I	WRM065cH02	5693380	5734318
I	WRM061aF09	5713128	5742801
I	WRM0614aG01	5722383	5762372
I	WRM0640bB06	5727481	5767249
I	WRM0626cB07	5730086	5761884
I	WRM0617cA01	5737504	5762763
I	WRM0620dD06	5750687	5790638
I	WRM0627dB11	5756855	5789716
I	WRM066bF03	5766122	5796071
I	WRM0621aD07	5775295	5809797
I	WRM0627dA12	5785254	5818596
I	WRM0619cA04	5785764	5820446
I	WRM0639bF06	5790154	5832076
I	WRM0623bC04	5793353	5826764
I	WRM063cF08	5795620	5832949
I	WRM0626aF02	5796025	5825410
I	WRM0618bB02	5799635	5836982
I	WRM0621cC06	5801262	5837209
I	WRM064aD02	5803512	5838152
I	WRM068bH02	5804670	5838495
I	WRM063aB09	5807706	5840303
I	WRM069aG06	5817793	5845705
I	WRM0627cA07	5819964	5854138
I	WRM0629aA03	5821473	5856062
I	WRM0611dH08	5823284	5856796
I	WRM0624cB07	5843376	5877139
I	WRM0611cC10	5849751	5889978
I	WRM0641dC06	5851678	5886976
I	WRM065aB04	5851874	5884882
I	WRM0628cA01	5852619	5884002
I	WRM069cC02	5867030	5902384
I	WRM0629dB11	5871668	5903686
I	WRM0640bG09	5877298	5911560
I	WRM0640bA05	5879419	5911779
I	WRM0639aG06	5883773	5920814
I	WRM0640bB12	5888177	5920239
I	WRM0613cD08	5899773	5936259
I	WRM062cC03	5923656	5956272
I	WRM0621cF11	5924208	5957430
I	WRM0621dB01	5928546	5968522
I	WRM0627aD04	5936753	5979238
I	WRM0627cG10	5937606	5972410
I	WRM0630dH06	5947877	5980833
I	WRM065dG04	5951208	5983227
I	WRM063dG05	5952070	5984702
I	WRM0640dC12	5967976	6004607
I	WRM0640cE08	5976898	6011955
I	WRM0613aB08	5978857	6008152
I	WRM065cC04	5997166	6029209
I	WRM0617bC04	6010039	6046042
I	WRM0624dD02	6047720	6084981
I	WRM061cG06	6055567	6088331
I	WRM066aG09	6059799	6094593
I	WRM0627cE01	6068500	6103309
I	WRM0638aG08	6071069	6103105
I	WRM0640cD10	6092234	6125497
I	WRM0623cH06	6101415	6137653
I	WRM0617cA08	6104577	6144345
I	WRM0632dE08	6107125	6141215
I	WRM0625dA05	6109922	6146612
I	WRM0613aA12	6113034	6147583
I	WRM0613cG12	6116059	6154352
I	WRM0624dG10	6124175	6163039
I	WRM0628dG06	6126390	6160370
I	WRM068cH02	6131839	6165391
I	WRM0621bH03	6144449	6174633
I	WRM0611dF11	6145118	6178699
I	WRM065bH05	6151309	6182072
I	WRM0626aC03	6157408	6191469
I	WRM0637aE07	6171938	6209010
I	WRM0638cC08	6177074	6212274
I	WRM0627bE10	6184795	6215618
I	WRM0632cE09	6192713	6231059
I	WRM0631bD04	6197203	6234184
I	WRM063bF06	6199649	6239428
I	WRM0636bB11	6204924	6239218
I	WRM0615aF01	6208163	6240050
I	WRM0629aA06	6210964	6250355
I	WRM0613bB02	6211061	6246005
I	WRM0637bG06	6221791	6254145
I	WRM065dH04	6222866	6257859
I	WRM0629bG12	6229732	6265523
I	WRM0612cA11	6238049	6273112
I	WRM0616cF04	6242966	6281961
I	WRM0612aD04	6245995	6279496
I	WRM0641dD07	6260315	6291510
I	WRM0630cE04	6263508	6297483
I	WRM0636aC01	6269767	6305862
I	WRM063bD01	6272013	6305360
I	WRM0639bG02	6275660	6305591
I	WRM0614aA05	6275923	6310312
I	WRM0629aE03	6289606	6322483
I	WRM0627dG12	6291051	6328431
I	WRM0615bH10	6294623	6327279
I	WRM0617dB09	6303527	6338413
I	WRM0611aC11	6304485	6335749
I	WRM069bF08	6310237	6346377
I	WRM066bD04	6313173	6345112
I	WRM0629dF04	6323426	6362146
I	WRM0631cC03	6325295	6360080
I	WRM069bE05	6326299	6368919
I	WRM0614aB04	6328150	6360222
I	WRM0614bG03	6328233	6367660
I	WRM0623cD05	6341827	6379929
I	WRM063dA11	6343208	6375522
I	WRM068dD04	6343522	6373779
I	WRM069cA08	6344759	6379779
I	WRM0622dG05	6346056	6379228
I	WRM0633dE09	6347512	6378684
I	WRM062cA11	6348662	6381079
I	WRM065aB09	6359247	6391047
I	WRM066aD04	6362606	6399005
I	WRM0626dB06	6366347	6398639
I	WRM064aC07	6371921	6405661
I	WRM0640cA07	6372398	6407849
I	WRM0626dG05	6377777	6411749
I	WRM0637dA11	6380712	6417269
I	WRM063bD05	6384827	6415955
I	WRM066aC08	6390829	6425806
I	WRM0623bH07	6391738	6423856
I	WRM0612cH12	6394433	6428768
I	WRM0632cB09	6397744	6430758
I	WRM068bC10	6407868	6439885
I	WRM0640cC12	6422121	6457258
I	WRM0629cE03	6438517	6473005
I	WRM0628dB06	6438594	6472158
I	WRM0616bG06	6442390	6472298
I	WRM0641aE12	6445752	6479175
I	WRM0630cG09	6446961	6481415
I	WRM0634dG08	6455212	6485819
I	WRM0633dH11	6455753	6492882
I	WRM062dC07	6456149	6490590
I	WRM0631cH08	6458289	6495236
I	WRM0641cD05	6488236	6520872
I	WRM0634dB09	6504213	6539034
I	WRM066bC03	6508017	6540362
I	WRM0632bA06	6523602	6553769
I	WRM0619cC04	6530378	6562416
I	WRM061bA11	6540026	6574793
I	WRM0619dH11	6540898	6573021
I	WRM0634bE04	6544136	6579292
I	WRM0632aD01	6546566	6582193
I	WRM0619aE01	6548466	6586286
I	WRM0637bC04	6553609	6588486
I	WRM0631bC05	6561572	6601710
I	WRM0640bE08	6594736	6630646
I	WRM0633aG04	6598941	6636764
I	WRM0615dF01	6609354	6641946
I	WRM061cH11	6610052	6639394
I	WRM0638cG01	6612124	6650488
I	WRM0611dB08	6614661	6644186
I	WRM061cE09	6618814	6649268
I	WRM0635cA07	6619717	6648558
I	WRM0627aA05	6620239	6657959
I	WRM0633cC08	6627609	6660461
I	WRM0631dF12	6630114	6660368
I	WRM0631aC09	6630762	6666129
I	WRM0639dE11	6631120	6653191
I	WRM0631cE02	6631666	6662876
I	WRM0616aE03	6633107	6665575
I	WRM0611cG02	6642645	6676060
I	WRM0639aE11	6654189	6689196
I	WRM0636aD02	6658412	6692690
I	WRM0612cD09	6660937	6697899
I	WRM0613cE07	6672877	6708152
I	WRM0626dH04	6685528	6718103
I	WRM0620bF10	6698311	6732790
I	WRM0610bD11	6705716	6738000
I	WRM068bG01	6729330	6765591
I	WRM0632cE11	6729508	6761914
I	WRM0612cG05	6732064	6766234
I	WRM0625bB07	6733504	6766957
I	WRM0613bC09	6762168	6783427
I	WRM0622dE07	6763970	6789792
I	WRM0637bF05	6782624	6817727
I	WRM0630dH10	6793674	6827837
I	WRM0627bH11	6794851	6831566
I	WRM0623cF02	6813003	6845380
I	WRM0610cC02	6817571	6851406
I	WRM064dH04	6819951	6853900
I	WRM0626aF10	6823187	6857335
I	WRM062cA05	6824101	6858590
I	WRM0616cA04	6825266	6861147
I	WRM0640aH10	6846932	6885160
I	WRM0622cC04	6862165	6896198
I	WRM063bE11	6879654	6910620
I	WRM0624bD09	6925321	6959018
I	WRM0624aC07	6925713	6956773
I	WRM069bG11	6929566	6967519
I	WRM0629aG08	6967276	7000861
I	WRM066aG01	6968443	7004795
I	WRM0630aF11	6973273	7007347
I	WRM0630bC08	7006467	7047789
I	WRM0638dE10	7030654	7064395
I	WRM067bE06	7038714	7071772
I	WRM0612dF08	7039019	7074074
I	WRM0619cC05	7039644	7069330
I	WRM0618bC03	7042519	7070335
I	WRM0638dH02	7068753	7104128
I	WRM0635bC12	7073729	7107353
I	WRM0623bA03	7077352	7110854
I	WRM0639aG05	7078027	7105848
I	WRM0619bH05	7090825	7134037
I	WRM0624dB12	7091925	7125802
I	WRM0613dH10	7095276	7127894
I	WRM0627dF04	7095640	7129850
I	WRM0616cE06	7095802	7132904
I	WRM0620bA10	7101144	7133562
I	WRM0641dF02	7106750	7137999
I	WRM063aE06	7124821	7157642
I	WRM0627cE07	7129330	7166947
I	WRM067dA12	7133302	7171194
I	WRM065cG03	7137305	7171532
I	WRM0624cG10	7160705	7192926
I	WRM0613aC07	7162326	7202802
I	WRM069dG03	7167854	7200651
I	WRM0610dG01	7188734	7220793
I	WRM0618cD05	7197677	7223903
I	WRM0620bC01	7198314	7229980
I	WRM0636cH02	7199873	7236145
I	WRM0633bB08	7208155	7237961
I	WRM0624cC03	7214900	7251445
I	WRM0628bD09	7214904	7247302
I	WRM0641aB05	7216485	7251826
I	WRM0616dF09	7220488	7263352
I	WRM0635aA08	7222519	7254406
I	WRM0610bA07	7230131	7261303
I	WRM0615dB11	7231106	7263064
I	WRM0636cE05	7233615	7266738
I	WRM068aE03	7235133	7266942
I	WRM0614bA04	7236276	7272207
I	WRM0637cC08	7236706	7272669
I	WRM062dD02	7241249	7280832
I	WRM0626bA07	7243030	7276513
I	WRM066aE10	7244496	7283364
I	WRM0629dB02	7244518	7282095
I	WRM0639dG11	7246101	7279324
I	WRM062aF02	7251409	7286333
I	WRM0632dC08	7253822	7290898
I	WRM0640dE11	7261059	7295703
I	WRM067dB10	7261316	7289958
I	WRM0616aE06	7262333	7296154
I	WRM067bH11	7266862	7304672
I	WRM0632cC03	7268183	7307203
I	WRM066cF01	7269834	7301913
I	WRM0624dC07	7269901	7302797
I	WRM0626dE10	7270614	7311414
I	WRM0632aE08	7272332	7304120
I	WRM066cA01	7276290	7305421
I	WRM0636bB01	7281004	7314451
I	WRM066cF10	7292486	7325024
I	WRM0621dG04	7297505	7331408
I	WRM0614cG06	7313629	7349098
I	WRM0635aC04	7324767	7366193
I	WRM0610bG03	7325573	7366499
I	WRM0613bG12	7330709	7370675
I	WRM0613aD06	7336837	7375182
I	WRM0626aA10	7346565	7381140
I	WRM067bD07	7363406	7400620
I	WRM0621dA03	7364006	7399271
I	WRM0610dC12	7365413	7397634
I	WRM0622aH10	7373054	7409857
I	WRM0638aA08	7384435	7418343
I	WRM0615dC09	7386885	7416844
I	WRM0638aE03	7396657	7434848
I	WRM069bE09	7397771	7432630
I	WRM064dA02	7410369	7436530
I	WRM0633aG01	7410506	7442847
I	WRM0639aG11	7424209	7454455
I	WRM0630cD12	7427957	7461877
I	WRM0635bD09	7429016	7463783
I	WRM066dA07	7435022	7469990
I	WRM0610cG06	7435172	7466656
I	WRM0620dB01	7440134	7470262
I	WRM0625bA02	7463532	7497788
I	WRM0641dH09	7464251	7495401
I	WRM0625bA07	7464339	7498226
I	WRM066aH03	7465663	7498535
I	WRM0625dC06	7469998	7513357
I	WRM0630dC02	7472777	7512016
I	WRM063dH07	7477487	7513393
I	WRM0614cC12	7480477	7511671
I	WRM0640aB04	7483242	7516367
I	WRM0613aC12	7484635	7519166
I	WRM0630cB05	7485581	7519432
I	WRM0622aE07	7487663	7523057
I	WRM0635dB10	7491153	7524948
I	WRM0637cH05	7505717	7534071
I	WRM0614cH12	7509615	7545987
I	WRM069dG07	7511345	7545917
I	WRM0624aD12	7534810	7571398
I	WRM0640bH04	7537462	7576487
I	WRM0614bG01	7552622	7583288
I	WRM0611bA05	7553347	7588333
I	WRM0640bC12	7553824	7584564
I	WRM0635aE06	7555831	7588949
I	WRM0624aH01	7557818	7592345
I	WRM0623cB07	7562132	7596207
I	WRM0641bD10	7573506	7609351
I	WRM065dF01	7575385	7607956
I	WRM0625dC05	7577557	7612961
I	WRM0631cH05	7580564	7609540
I	WRM0625cB07	7584753	7621299
I	WRM068bG09	7590804	7624849
I	WRM0624aH10	7595330	7630737
I	WRM0634dC06	7599917	7631338
I	WRM0640cB12	7600725	7641090
I	WRM0623aC11	7603308	7638788
I	WRM0614dA04	7616860	7642048
I	WRM0637cH09	7618649	7651258
I	WRM067bF09	7622665	7655128
I	WRM0641dH04	7624107	7659939
I	WRM0637dH09	7627790	7662872
I	WRM0622aC04	7630276	7663471
I	WRM0619aF12	7636579	7672301
I	WRM0621aA04	7637295	7673998
I	WRM0624aF01	7642888	7676113
I	WRM0610dH07	7653492	7690046
I	WRM061dE06	7653567	7687753
I	WRM0641cH10	7655808	7691091
I	WRM0625aB11	7656543	7694964
I	WRM0628cC09	7663346	7695614
I	WRM0637aE05	7671002	7706573
I	WRM0635bG11	7671718	7707675
I	WRM0620dE01	7672624	7707595
I	WRM0630bF04	7676644	7713738
I	WRM0612aH12	7679933	7714135
I	WRM0610dD07	7680832	7718126
I	WRM0628cC04	7684938	7719777
I	WRM0619cC09	7685672	7719727
I	WRM0628aF08	7719072	7755812
I	WRM0613cA11	7729038	7764115
I	WRM0637bD08	7731053	7763680
I	WRM0625dF08	7739515	7773432
I	WRM0639dD07	7745704	7777351
I	WRM062aD09	7760281	7794880
I	WRM0612dB05	7768509	7800436
I	WRM0616bE08	7775386	7811145
I	WRM0628bE06	7790724	7824586
I	WRM0615bB03	7794958	7829023
I	WRM0614aB10	7799417	7826143
I	WRM0636dG02	7809717	7839001
